"university name","university             location&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","university             type"
"abilene christian university","abilene (tx)","private"
"adelphi university","garden city (ny)","private"
"alliant international university","san diego (ca)","private"
"american international college","springfield (ma)","private"
"angelo state university","san angelo (tx)","public"
"arizona state university","tempe (az)","public"
"auburn university","auburn (al)","public"
"auburn university - montgomery","montgomery (al)","public"
"augusta state university","augusta (ga)","public"
"ball state university","muncie (in)","public"
"barnard college","new york (ny)","private"
"baruch college","new york (ny)","public"
"bay path college","longmeadow (ma)","private"
"baylor university","waco (tx)","private"
"bethel university","saint paul (mn)","private"
"binghamton university","binghamton (ny)","public"
"biola university","la mirada (ca)","private"
"bluffton university","bluffton (oh)","private"
"boise state university","boise (id)","public"
"boston college","chestnut hill (ma)","private"
"boston university","boston (ma)","private"
"bowling green state university","bowling green (oh)","public"
"bradley university","peoria (il)","private"
"brandeis university","waltham (ma)","private"
"brigham young university","provo (ut)","private"
"brown university","providence (ri)","private"
"california polytechnic state university - san luis obispo","san luis obispo (ca)","public"
"california state polytechnic university - pomona","pomona (ca)","public"
"california state university - dominguez hills","carson (ca)","public"
"california state university - fresno","fresno (ca)","public"
"california state university - fullerton","fullerton (ca)","public"
"california state university - long beach","long beach (ca)","public"
"california state university - los angeles","los angeles (ca)","public"
"california state university - northridge","northridge (ca)","public"
"cameron university","lawton (ok)","public"
"carnegie mellon university","pittsburgh (pa)","private"
"case western reserve university","cleveland (oh)","private"
"catholic university of america the","washington d.c.","private"
"cedarville university","cedarville (oh)","private"
"central connecticut state university","new britain (ct)","public"
"central michigan university","mount pleasant (mi)","public"
"central missouri state university","warrensburg (mo)","public"
"central washington university","ellensburg (wa)","public"
"christian brothers university","memphis (tn)","private"
"claremont graduate university","claremont (ca)","private"
"clark university","worcester (ma)","private"
"clemson university","clemson (sc)","public"
"college of charleston","charleston (sc)","public"
"college of staten island","staten island (ny)","public"
"college of william &amp; mary","williamsburg (va)","public"
"colorado state university","fort collins (co)","public"
"columbia university","new york (ny)","private"
"concordia college","moorhead (mn)","private"
"cornell university","ithaca (ny)","private"
"dartmouth college","hanover (nh)","private"
"drexel university","philadelphia (pa)","private"
"duke university","durham (nc)","private"
"east carolina university","greenville (nc)","public"
"east tennessee state university","johnson city (tn)","public"
"eastern illinois university","charleston (il)","public"
"eastern kentucky university","richmond (ky)","public"
"eastern michigan university","ypsilanti (mi)","public"
"emory university","atlanta (ga)","private"
"fairleigh dickinson university","teaneck (nj)","private"
"florida atlantic university","boca raton (fl)","public"
"florida institute of technology","melbourne (fl)","private"
"florida state university","tallahassee (fl)","public"
"forest institute of professional psychology","springfield (mo)","private"
"fort hays state university","hays (ks)","public"
"george mason university","fairfax (va)","public"
"george washington university the","washington d.c.","private"
"georgetown university","washington d.c.","private"
"georgia institute of technology","atlanta (ga)","public"
"georgia southern university","statesboro (ga)","public"
"georgia state university","atlanta (ga)","public"
"grambling state university","grambling (la)","public"
"grand valley state university","allendale (mi)","public"
"hampton university","hampton (va)","private"
"hanover college","hanover (in)","private"
"harvard university","cambridge (ma)","private"
"humboldt state university","arcata (ca)","public"
"hunter college","new york (ny)","public"
"huntington college","huntington (in)","private"
"idaho state university","pocatello (id)","public"
"illinois institute of technology","chicago (il)","private"
"indiana state university","terre haute (in)","public"
"indiana university","bloomington (in)","public"
"indiana university - purdue university indianapolis","indianapolis (in)","public"
"iowa state university","ames (ia)","public"
"jackson state university","jackson (ms)","public"
