"Geburtsort","birth place","label"
"http://dbpedia.org/resource/Giessen","http://dbpedia.org/resource/Giessen","3Steps"
"","","AK 47 Mayanja"
"","","AR-Ab"
"","","Aalias"
"","","Aaron Diehl"
"","","Aaron Heick"
"","","Abbas Almosawi"
"","Karachi","Abdullah Niazi Qawwal"
"","","Abigail Budak"
"http://dbpedia.org/resource/New_Orleans","http://dbpedia.org/resource/New_Orleans","Abigail Duhon"
"http://dbpedia.org/resource/United_States","","Adam Gubman"
"http://dbpedia.org/resource/United_States","","Adam WarRock"
"","","Adrian Corker"
"","","Adriana Chechik"
"http://dbpedia.org/resource/Kachin_State","","Ah Moon"
"http://dbpedia.org/resource/Turkey","","Ahmet Enes"
