"Wikipage revision ID","label","Wikipage page ID","Link from a Wikipage to an external page"
"679135634","Callipteridium","47269552","http://www.georgesbasement.com/LesquereuxAtlasP/Alethopterids-to-Protoblechnum-Lesquereux.htm#D"
"675366919","Cycas nayagarhensis","47478938","http://www.cycadsofindia.in/"
"675367225","Cycas orixensis","47480071","http://www.cycadsofindia.in/"
"671682157","Cycas zeylanica","42047833",""
"","Zamia tuerckheimii","",""
"","Cycadales","",""
"","Zamia chigua","",""
"","Ceratozamia becerrae","",""
"","Zamia amblyphyllidia","",""
"","زاميا ضيقة الأوراق","",""
"","زاميا بوليفية","",""
"","زاميا حاضنة","",""
"","Zamia encephalartoides","",""
"","Zamia fairchildiana","",""
"","Zamia fischeri","",""
"","Zamia gentryi","",""
"","Zamia hymenophyllidia","",""
"","Zamia inermis","",""
"","Zamia lacandona","",""
"","Zamia lecointei","",""
