"Sterbedatum","label","Geburtsdatum","birth place","Geburtsort"
"2001","J. M. Pahwa","1922-07-04","http://dbpedia.org/resource/Multan","http://dbpedia.org/resource/Multan"
"","Michel Doyon","1943-04-22","http://dbpedia.org/resource/Quebec","http://dbpedia.org/resource/Quebec"
"","JC Gonzalez","","","http://dbpedia.org/resource/Bogotá"
"","JGivens","","","http://dbpedia.org/resource/California"
"","J Metro","","","http://dbpedia.org/resource/United_States"
"","Jack Watsan","1982-01-27","Nazareth, Tamil Nadu, India","http://dbpedia.org/resource/Nazareth,_Tamil_Nadu"
"","Jacki Cooper","","Slough, Berkshire, United Kingdom","http://dbpedia.org/resource/Slough"
"","Jackie Kazarian","","http://dbpedia.org/resource/United_States","http://dbpedia.org/resource/United_States"
"","Jackie McCullough","","http://dbpedia.org/resource/Kingston,_Jamaica","http://dbpedia.org/resource/Kingston,_Jamaica"
"","Jaclyn Bradley Palmer","1979-06-26","",""
"","Jacob Elbaz","1945","",""
"","Jacqueline Vietti","1948-07-24","http://dbpedia.org/resource/Eureka,_Kansas","http://dbpedia.org/resource/Eureka,_Kansas"
"","Jacques Ferrier","","Limoux, France","http://dbpedia.org/resource/Limoux"
"","Jagdev Maan","","Sheikh Daulat, India","http://dbpedia.org/resource/India"
"","Jagoda Marinić","1977-09-20","","http://dbpedia.org/resource/Waiblingen"
"","Jair Bolsonaro","1955-03-21","http://dbpedia.org/resource/Campinas","http://dbpedia.org/resource/Campinas"
"","Jaivindra singh bhati","1981","Greater Noida, India","http://dbpedia.org/resource/Greater_Noida"
"","Jamais Cascio","","",""
"","James Akintunde","1996-03-29","Brent, England","http://dbpedia.org/resource/London_Borough_of_Brent"
"","James DeJulio","","",""
