"title","genre","order #","unit price"
"102 dalmations","disney","hl00313171","$14.95"
"110 in the    shade","musical","hl00312303","$10.95"
"25th ann.    putnam county spelling bee","musical","alf 24493","$22.95"
"about last    night&hellip;","movie","p0730smx","$19.95"
"absolute    beginners","movie","imp 16288","$22.00"
"across the    universe","movie","hl00313396","$22.95"
"adventures of    tom sawyer","movie","west coast","$18.00"
"against all    odds","movie","p0568smx","$17.95"
"aida","broadway","hl00313175","$19.95"
"ain't    misbehavin'","broadway","hl00359040","$12.95"
"aladdin","cartoon","hl00312480","$16.95"
"all american","broadway","ccp b3-3682","$9.95"
"allegro","broadway","hl00312007","$8.95"
"all shook up","musical","hl00313301","$16.95"
"ally mcbeal","tv","imp 6704a","$16.95"
"almost famous","movie","hl02500343","$14.95"
"altar boyz","broadway","hl00313344","$16.95"
"alvin and the    chipmunks","cartoon","hl00313395","$14.95"
"american    girls revue (the)","broadway","imp 0325b","$10.00"
"american hot    wax","movie","big 3","$20.00"
"amistad","movie","hl02501801","$14.95"
"andre","movie","hl02502155","$14.95"
"annabelle's    wish","movie","wb pf9735","$9.95"
"annie","broadway","hl00383056","$14.95"
"annie","movie","hl00383058","$14.95"
"annie    warbucks","broadway","wb tsf0073","$16.95"
"anyone can    whistle","broadway","hl00312010","$10.95"
"anything goes","broadway","wb vf1450","$16.95"
"applause","broadway","wb tsf0007","$14.95"
"apple tree    (the)","broadway","hl00313354","$14.95"
"aristocats","cartoon","hl00313055","$8.95"
"armegeddon","movie","hl00313115","$16.95"
"arthur","movie","wb vf0921","$25.00"
"aspects of    love","broadway","hl00490168","$16.95"
"assassins","broadway","wb vf1978","$21.95"
"avenue q","broadway","hl00313269","$19.95"
"babes in arms","broadway","hl00312014","$10.95"
"baby","broadway","wb val2012a","$12.95"
"back to the    future","movie","hl00123600","$7.95"
"baker's wife    (the)","broadway","hl00313325","$12.95"
"bambi ii","cartoon","hl00313328","$14.95"
"barnum","broadway","wb vf1821","$14.95"
"batman    forever","movie","wb pf9536","$16.95"
"batman and    robin","movie","wb pf9725","$16.95"
"beautiful    game (the)","broadway","hl00313194","$17.95"
"beauty and    the beast","movie","hl00311532","$16.95"
"beauty and    the beast","broadway","hl00312511","$19.95"
"bells are    ringing","movie","hl00312031","$10.95"
"best little    whorehouse in texas (the)","ann margret","wb pfm0117","$14.95"
"best little    whorehouse in texas (the)","movie","hl00120564","$12.95"
"big","broadway","wb pf9635","$14.95"
"billy","broadway","imp e8476a","$18.95"
"blood    brothers","broadway","am79476","$17.95"
"bodyguard    (the)","movie","wb vf1926","$18.95"
"bonnie and    clyde","movie","wb - 7 arts","$25.00"
"boyfriend    (the)","musical","hansen","$25.00"
"boy from oz    (the)","broadway","wb pfm0404","$16.95"
"boys from    syracuse (the)","broadway","hl00312045","$10.95"
"breakin'","movie","hl00359432","$17.95"
"bridget    jones's diary","movie","hl00313187","$14.95"
"bridge to    terabithia","movie","hl00313374","$16.95"
"bridges of    madison county (the)","movie","hl02502133","$16.95"
"brigadoon","broadway","alf tsf0013","$12.95"
"brokeback    mountain","movie","hl00313333","$16.95"
"brooklyn the    musical","broadway","hl00313310","$14.95"
"brother bear    2","cartoon","hl00313345","$14.95"
"buddy holly    story","movie","am83486","$14.95"
"buster","movie","wb vf1543","$10.95"
