"S.No.","Company","Ticker in Domestic Exchange","Industry"
"1","A.P. M?ller-M?rsk (class A)","MAERSK A","marine"
"2","A.P. M?ller-M?rsk (class B)","MAERSK B","marine"
"3","Carlsberg Group","CARL B","brewers"
"4","Dampskibsselskabet Norden","DNORD","marine"
"5","Danisco","DCO","agricultural products"
"6","Danske Bank","DANSKE","diversified banks"
"7","DSV","DSV","trucking"
"8","FLSmidth & Co.","FLS","construction and engineering"
"9","Genmab","GEN","biotechnology"
"10","Jyske Bank","JYSK","diversified banks"
"11","Lundbeck","LUN","pharmaceuticals"
"12","NKT Holding","NKT","industrial machinery"
"13","Nordea AB","NDA DKK","diversified banks"
"14","Novo Nordisk","NOVO B","pharmaceuticals"
"15","Novozymes","NZYM B","specialty chemicals"
"16","Sydbank","SYDB","diversified banks"
"17","Topdanmark","TOP","multi-line insurance"
"18","TrygVesta","TRYG","property and casualty insurance"
"19","Vestas Wind Systems","VWS","heavy electrical equipment"
"20","William Demant","WDH","health care equipment"
