"Link from a Wikipage to an external page","Wikipage page ID","league2 result","body","label","bg","Wikipage revision ID"
"http://www.csmindelense.com","47732421","Champion","FF0000","2014–15 CS Mindelense season","y","680605753"
"http://www.etgfc.com/","46982000","","","2014–15 Evian Thonon Gaillard F.C. season","","670278582"
"http://www.fcdynamo.kiev.ua/","46296455","","","Futbol'nyj Klub Dynamo Kyïv 2014-2015","","678519187"
"http://www.fclweb.fr/","46237489","","","2014–15 FC Lorient season","","670450209"
"http://www.fcmetz.com/","46219780","","","2014–15 FC Metz season","","668333877"
"http://www.fcnantes.com/accueil.php","45698033","","","Saison 2014-2015 du FC Nantes","","677465933"
"http://www.rclens.fr/site/","46964421","","","2014–15 RC Lens season","","675433118"
"http://www.smcaen.fr/","46982433","","","2014–15 Stade Malherbe Caen season","","673371150"
"http://www.staderennais.com/","46982501","","","2014–15 Stade Rennais F.C. season","","673371164"
"http://www.stade-de-reims.com/","46238866","","","2014–15 Stade de Reims season","","681350119"
"http://www.tpslsoccer.com","46431160","","","2014–15 TPSL season","","672815234"
"http://www.breidablik.is/knattspyrna","45666271","","","2015 Breiðablik UBK season","","682477227"
"http://www.clubgaa.ie/cavan/index.htm","46262073","","","2015 Cavan Intermediate Football Championship","","683737325"
"http://www.clubgaa.ie/cavan/index.htm","46583985","","","2015 Cavan Junior Football Championship","","683681485"
"http://www.clubgaa.ie/cavan/index.htm","46261802","","","2015 Cavan Senior Football Championship","","683961750"
"http://cavangaa.ie/","47998130","","","2015 Cavan Senior Hurling Championship","","683678582"
"http://chinunitedfc.com/","47705689","","","2015 Chin United season","","679211177"
"http://www.dodgecityfootball.com/","46245729","","","2015 Dodge City Law season","","682243021"
"http://www.droghedaunited.ie/","45644385","","","2015 Drogheda United F.C. season","","669919690"
"http://dukecitygladiators.com/","46633574","","","2015 Duke City Gladiators season","","682241230"
