"Wikipage revision ID","label","Wikipage page ID"
"679384334","Brain death","187262"
"668690369","Brenner tumour","1169204"
"","Brill–Zinsser disease",""
"674938751","CUP-Syndrom","14410120"
"683458595","اضطراب نظم قلبي","26254474"
"683678559","مرض خدش القطة","28111033"
"","Cavernous sinus thrombosis",""
"","Central serous retinopathy",""
"","Childhood disintegrative disorder",""
"","Cholangiocarcinoma",""
"","Chronic myelogenous leukemia","559874"
"","Combat stress reaction",""
"678192525","Conductive hearing loss","1187432"
"","Congenital diaphragmatic hernia",""
"682666521","Congenital disorder","321263"
"","Congenital insensitivity to pain",""
"","Congenital insensitivity to pain with anhidrosis",""
"683184604","Critical-Illness-Polyneuropathie","15286222"
"","Síndromes periódicos asociados a criopirina",""
"","Cushing's disease",""
