"Sterbedatum","Geburtsdatum","label"
"1973-09-11","1908-06-11","Les Scollard"
"1972-10-09","1896-09-22","Les Warren"
"1990-12-23","1905-09-29","Lindsay Fricker"
"1990-03-03","1904-11-04","Lockie Wood"
"1957-10-02","1905-07-29","Lou Bols"
"1947-09-26","1907-10-17","Mal MacRae"
"","1995-09-18","Matthew Scharenberg"
"","","Mick Blake"
"1983-04-30","1903-05-02","Norm Beckham"
"1985-10-04","1906-09-11","Norm Harris"
"1994-08-03","1904-03-21","Norm Stott"
"","","Parker Morton"
"1991-03-01","1903-07-08","Paul Killeen"
"1987-06-22","1896-03-16","Percy Chalmers"
"1951-04-16","1904-07-04","Phonse Hayes"
"1969-05-03","1905-09-30","Reg Knipe"
"1963-11-08","1902-03-13","Reg Smith (Australian footballer)"
"1971-12-19","1906-07-17","Robbie Gall"
"","1986-06-28","Rory O'Brien (Australian rules footballer)"
"1997-07-19","1909-03-31","Roy Finlayson"
