"&nbsp;Connections&nbsp;","&nbsp;Gateway ID&nbsp;","&nbsp;&nbsp;&nbsp;Title"
"11","5144","Chemistry and physics of lipids."
"47","3448","Chemistry of materials."
"20","3717","Chemistry: a European journal."
"3","2298","Chemoecology."
"0","5541","Chemometrics and intelligent laboratory systems."
"4","5024","Chemosphere."
"1","5531","Chemosphere. Global change science."
"0","764","Cherry production."
"Withdrawn","3019","Chicano Database"
"0","3068","Chicano database."
"3","630","Chicken and eggs--final estimates."
"3","689","Chickens and eggs."
"3","4096","Chiefs of state and cabinet members of foreign governments."
"8","5523","Child abuse & neglect."
"7","2979","Child survival : strategies for research"
"0","2358","Child's nervous system."
"5","3212","Child: care health and development."
"4","4029","ChildStats.gov."
"2","3102","Childhood agricultural injuries."
"9","4513","Childhood obesity causes & prevention : symposium proceedings October 27 1998."
"9","5679","Children and youth services review."
"0","4528","Children's health care."
"0","4526","Children's services."
"1","5680","China economic review."
