"nhs trusts","hospital name","link surgeons"
"barking havering    and redbridge hospitals nhs t","queen's hospital (romford)","mr d khoo"
"&nbsp;","king george hospital (essex)","&nbsp;"
"barnet and chase farm hospitals nhs t          (link surgeon to be appointed)","barnet general hospital","&nbsp;"
"&nbsp;","chase farm hospital","&nbsp;"
"bart's and the london nhs t","st bartholomew's hospital","&nbsp;"
"&nbsp;","the london hospital","mr f w cross"
"bromley hospitals nhs t          (link surgeon to be appointed)","bromley hospital","&nbsp;"
"chelsea and westminster hospital nhs ft          (link surgeon to be appointed)","chelsea and westminster hospital","&nbsp;"
"ealing hospital nhs t          (link surgeon to be appointed)","ealing hospital","&nbsp;"
"epsom and st helier university hospitals    nhs t          (link surgeon to be appointed)","epsom hospital","&nbsp;"
"&nbsp;","st helier hospital","&nbsp;"
"guy's and st thomas's hospital nhs ft          (link surgeon to be appointed)","guy's hospital","&nbsp;"
"&nbsp;","st thomas's hospital","&nbsp;"
"hillingdon hospital nhs t          (link surgeon to be appointed)","hillingdon hospital (uxbridge)","&nbsp;"
"homerton university hospital nhs ft          (link surgeon to be appointed)","homerton hospital (hackney)","&nbsp;"
"imperial college healthcare nhs ft          (link surgeon to be appointed)","charing cross hospital","&nbsp;"
"&nbsp;","hammersmith hospital","&nbsp;"
"&nbsp;","st mary's hospital","mr m c g terry "
"king's college hospital nhs ft","king's college hospital","mr s papagrigoriadis"
"kingston hospital nhs t","kingston hospital","mr m e d jarrett "
"lewisham hospital nhs t","lewisham hospital","miss j c linsell "
"newham university hospital nhs t          (link surgeon to be appointed)","newham general hospital","&nbsp;"
"north middlesex university hospital nhs    t          (link surgeon to be appointed)","north middlesex hospital (edmonton)","&nbsp;"
"north west london hospitals nhs t          (link surgeon to be appointed)","northwick park and st mark's hospital","&nbsp;"
"&nbsp;","central middlesex hospital","&nbsp;"
"queen elizabeth hospital nhs t          (link surgeon to be appointed)","queen elizabeth ii hospital (welwyn gc)","&nbsp;"
"queen mary's sidcup nhs t","queen mary's hospital (sidcup)","mr j g payne"
"royal free hampstead nhs t","royal free hospital","mr d baker"
"royal marsden nhs ft","royal marsden hospital","&nbsp;"
"st george's healthcare nhs t","st george's hospital (tooting)","mr d m melville "
"university college london hospitals nhs    ft          (link surgeon to be appointed)","university college hospital","&nbsp;"
"west middlesex university hospital nhs t          (link surgeon to be appointed)","west middlesex hospital (isleworth)","&nbsp;"
"whipps cross university hospital nhs t","whipps cross hospital (leytonstone)","mr m r machesney"
"whittington hospital nhs t","whittington hospital (highgate)","mr a oshowo"
