"label","Geburtsort","birth place"
"Lam Kam San","http://dbpedia.org/resource/Macau","http://dbpedia.org/resource/Macau"
"Loris Hezemans","http://dbpedia.org/resource/Uccle",""
"Macauley Jones","http://dbpedia.org/resource/Albury",""
"Mak Hing Tak","http://dbpedia.org/resource/Hong_Kong","http://dbpedia.org/resource/Hong_Kong"
"Markus Östreich","http://dbpedia.org/resource/Fulda",""
"Masahiko Ida","http://dbpedia.org/resource/Japan","http://dbpedia.org/resource/Japan"
"Matt Levin","",""
"Michael Choi (racing driver)","http://dbpedia.org/resource/Hong_Kong","http://dbpedia.org/resource/Hong_Kong"
"Michael Jernberg","http://dbpedia.org/resource/Kinna",""
"Norbert Tóth (racing driver)","http://dbpedia.org/resource/Hungary",""
"Oscar Cabalén","",""
"Philippe Descombes","http://dbpedia.org/resource/France","http://dbpedia.org/resource/France"
"Pol Rosell","http://dbpedia.org/resource/Vic",""
"Rafaël Galiana","http://dbpedia.org/resource/Bouches-du-Rhône",""
"Ralf Aron","http://dbpedia.org/resource/Estonia",""
"Rollie MacDonald","","http://dbpedia.org/resource/Pictou"
"Samson Chan","http://dbpedia.org/resource/Canada","http://dbpedia.org/resource/Canada"
"Scott Fraser (racing driver)","",""
"Sophia Flörsch","http://dbpedia.org/resource/Munich",""
"Tom Cole (racing driver)","",""
