"1. Specify:","(model number)","?","Q498-0000"
"2. Optional Factory Custom Calibration C620 . with desired input and output ranges for 25-point linearization.","2. Optional Factory Custom Calibration C620 . with desired input and output ranges for 25-point linearization.","2. Optional Factory Custom Calibration C620 . with desired input and output ranges for 25-point linearization.","2. Optional Factory Custom Calibration C620 . with desired input and output ranges for 25-point linearization."
"3. Optional I/QRail and other accessories (see Accessories list).","3. Optional I/QRail and other accessories (see Accessories list).","3. Optional I/QRail and other accessories (see Accessories list).","3. Optional I/QRail and other accessories (see Accessories list)."
"Accessories","Accessories","Accessories","Accessories"
"?","C698-0000","?","Configuration Software &amp; PC Serial Cable"
"?","MD02","?","TS32 DIN rail (2 meters)"
"?","MD03","?","TS35 x 7.5 DIN rail (2 meters)"
"?","IQRL-D002","?","2-Position I/QRail &amp; DIN rail"
"?","IQRL-D004","?","4-Position I/QRail &amp; DIN rail"
"?","IQRL-D008","?","8-Position I/QRail &amp; DIN rail"
"?","G905","?","0.5Amp 24VDC Power Supply"
"?","H910","?","1Amp 24VDC Power Supply"
"?","H915","?","2.1Amp 24VDC Power Supply"
