"Type","Title","Company","Industry"
"Watch Now","Yahoo! Advertisers Optimize Ads with Tableau","Yahoo!","Media Entertainment &amp; Publishing"
"Watch Now","Seattle Children&#039;s Improves Patient Care with Better Insight Faster","Seattle Children&#039;s","Healthcare &amp; Medical"
"Watch Now","Tableau and Teknion exceed Cowboys&#039; Requirements","Dallas Cowboys","Retail &amp; Distribution"
"Watch Now","Playdom Ups Its Game By Analyzing Customer Behavior Data","Playdom","Software &amp; Technology"
"Watch Now","National Motor Club Gains Insight Across the Company","National Motor Club","Transportation &amp; Logistics"
"Watch Now","The Seattle Times Engages Readers Drives Dwell Time","Seattle Times","Media Entertainment &amp; Publishing"
"Watch Now","Giving Time Back to Teachers","Aspire Public Schools","Education"
"Watch Now","New Tools for an Old University","Oxford University","Education"
"Watch Now","Visualizing the Influence of Money in Politics","MAPLight.org","Government"
"Read Now","The User Experience at the Speed of Thought: Nokia","Nokia","Telecommunications"
"Watch Now","Equinox IT Finds Insight in Millions of Rows of Telco Data","Equinox Ltd","Software &amp; Technology"
"Watch Now","10 Times the Analysis in Half the Time with Half the Staff","Cornell University","Education"
"Watch Now","Spotlight On: Ernst &amp; Young","Ernst &amp; Young","Business Services"
"Watch Now","Business Users Get Answers with  Self-Service Dashboards","RBC Wealth Management","Banking &amp; Finance"
"Watch Now","Yale Goes from 5 Weeks to 5 Days to Publish Dashboards","Yale University","Education"
"Watch Now","Trexin Brings Analytics to the Front Lines","Trexin","Investment Services"
"Read Now","The User Experience at the Speed of Thought: Kaleida Health","Kaleida Health","Healthcare &amp; Medical"
"Watch Now","Saving Time and Money with Simplified Information Sharing","Blastrac Manufacturing","Manufacturing"
"Watch Now","Intelligent Capital Allocation for Wireless Telecom Infrastructure","FiberTower","Software &amp; Technology"
"Read Now","Identifying and Arrests Hacker Intrusion with Visual Analysis","Stanford University","Education"
"Read Now","Jacksonville State University Optimizes Productivity with Tableau","Jacksonville State University","Education"
"Read Now","Texas Educators Get Meaning from Data","Region 4","Education"
"Read Now","DePauw University Sorts Out Student Data","DePauw University","Education"
"Read Now","Time Spent on Reporting Drops from 30% to 5% for Pearson","Pearson","Education"
"Read Now","Tableau Furthers Oco?s Turnkey BI Solution","Oco","Software &amp; Technology"
"Read Now","Tableau Delivers Rapid Analytics and Reporting","Predicta Brazil","Media Entertainment &amp; Publishing"
"Read Now","Tableau Slices Data Manipulation Time","The Martin Agency","Media Entertainment &amp; Publishing"
"Read Now","Dig Into Revenue Change with Web Analytics and Tableau","Ryan Nokes","Software &amp; Technology"
"Read Now","Tableau takes eteamz to the Major Leagues","eteamz","Media Entertainment &amp; Publishing"
"Read Now","Tableau Reveals Key Opportunities in Sales Performance Data","First American Corporation","Business Services"
"Read Now","Tableau Generates Action From Market Research Data","Amica","Insurance"
"Read Now","Tableau Drives Operations Performance for Financial Firms","National Financial Partners","Investment Services"
"Read Now","Tableau Delivers Visual Analysis of Securities Trading Data","Rosenblatt Securities","Investment Services"
"Read Now","Tableau Selected for Homeland Security Pilot Project","Pacific Northwest National Labs","Government"
"Read Now","Tableau Enables More Efficient Effective Survey Analysis","Kwantum","Retail &amp; Distribution"
"Read Now","Ferrari of North America Revs Up Its Data Analysis","Ferrari","Retail &amp; Distribution"
"Read Now","More Effective Financial Analysis for a Student Business","Flyer Enterprises","Retail &amp; Distribution"
"Read Now","Tableau&#039;s Visualizations Reveal Critical Trends in Real-Time","US Auto Parts","Retail &amp; Distribution"
"Read Now","Wholesaler Streamlines Business Model and Increases Efficiency","Silvaris","Consumer Goods &amp; Services"
"Read Now","Working Faster and Smarter During Hard Economic Times","City of Charlotte","Government"
"Read Now","Omega Uses Tableau Software to Enhance its Software","Omega","Software &amp; Technology"
"Read Now","ThoughtStorm Effectively Engages their Data with Tableau","ThoughtStorm","Investment Services"
"Read Now","Health Sciences Center Visualizes Cancer Research","LSU Health Sciences","Healthcare &amp; Medical"
"Watch Now","Spotlight On: Kabel Deutschland","Kabel Deutschland","Telecommunications"
"Watch Now","Spotlight On: Nokia","Nokia","Other"
"Watch Now","Spotlight On: Sveriges Television","Sveriges Television","Media Entertainment &amp; Publishing"
"Watch Now","Spotlight On: Swedbank","Swedbank","Banking &amp; Finance"
"Watch Now","Spotlight On: Locatus","Locatus","Media Entertainment &amp; Publishing"
"Watch Now","Spotlight On: Schuberg Philis","Schuberg Philis","Software &amp; Technology"
"Watch Now","Spotlight On: Maritime &amp; Mercantile","Maritime &amp; Mercantile","Other"
"Watch Now","Spotlight On: Danish Olympic Committee","The Danish Olympic Committee","Other"
"Watch Now","Spotlight On: Mindshare","Mindshare","Media Entertainment &amp; Publishing"
"Read Now","Spotlight On: Creighton University","Creighton University","Education"
"Listen Now","Podcast Series: Getting Started with Tableau Wells Fargo","Wells Fargo Bank","Banking &amp; Finance"
"Listen Now","Podcast Series: Getting Started with Tableau Intel","Intel","Software &amp; Technology"
"Listen Now","Podcast Series: Getting Started with Tableau Allstate","Allstate Insurance","Insurance"
