"Wikipage page ID","label","Link from a Wikipage to an external page","Wikipage revision ID"
"47327773","Alliance des libéraux et démocrates (Roumanie)","http://alde.ro/","678568520"
"45702226","Alliance of Women Directors","",""
"47688705","Allsec Technologies","http://www.allsectech.com","683603862"
"46213083","Alma littera","http://www.almalittera.lt","654602152"
"46200508","Almargem","http://almargem.org/","668238411"
"47943626","Alpe Adria Cup","http://www.alpeadriacup.com/","683602459"
"46811162","AlphaPoint","http://alphapoint.com","680705443"
"47388222","Alpha Male Tea Party","",""
"46951431","Alpha Unmanned Systems","http://www.alphaunmannedsystems.com","682474958"
"46242506","Alsace de Bagnolet","",""
"","Altars (American metal band)","",""
"47754837","AltiGator","https://www.altigator.com/en/","683419369"
"46959285","Alumasc Group","http://www.alumasc.co.uk/home","682326558"
"","Aluu Airlines","",""
"47003335","Amar Audio","http://www.amaraudio.in","680512031"
"","Amar Singh College","",""
"47796548","Amaryllo","http://www.amaryllo.eu/","683955669"
"47352509","Amazing film studio","https://www.facebook.com/amazingfilmstudio/","683707225"
"46334645","Ambassador High School (Torrance, California)","http://www.ambassadorhighschool.org/","682902715"
"47924138","Amelia Earhart Middle School","",""
