"country","currency","exam price","exam price"
"&nbsp;","&nbsp;","tier 1","tier 2"
"afghanistan","usd","97.50","195.00"
"albania","usd","97.50","195.00"
"algeria","eur","83.00","161.00"
"american samoa","usd","75.00","150.00"
"andora","usd","97.50","195.00"
"angola","eur","83.00","161.00"
"anguilla","usd","75.00","150.00"
"antarctica","usd","150.00","300.00"
"antigua and barbuda","usd","75.00","150.00"
"argentina","usd","75.00","150.00"
"armenia","usd","97.50","195.00"
"aruba","usd","150.00","300.00"
"australia","aud","150.00","300.00"
"austria","eur","128.00","248.00"
"azerbaijan","usd","97.50","195.00"
"bahamas","usd","75.00","150.00"
"bahrain","usd","97.50","195.00"
"bangladesh","usd","127.50","255.00"
"barbados","usd","150.00","300.00"
"belarus","usd","97.50","195.00"
"belgium","eur","128.00","248.00"
"belize","usd","75.00","150.00"
"benin","usd","97.50","195.00"
"bermuda","usd","75.00","150.00"
"bhutan","usd","127.50","255.00"
"bolivia","usd","75.00","150.00"
"bosnia and herzegowina","usd","97.50","195.00"
"botswana","usd","97.50","195.00"
"bouvet island","usd","97.50","195.00"
"brazil","usd","130.50","261.00"
"british indian ocean territory","usd","127.50","255.00"
"brunei darussalam","usd","127.50","255.00"
"bulgaria","usd","45.00","90.00"
"burkina faso","usd","97.50","195.00"
"burundi","usd","97.50","195.00"
"cambodia","usd","127.50","255.00"
"cameroon","usd","97.50","195.00"
"canada","usd","150.00","300.00"
"cape verde","usd","97.50","195.00"
"cayman islands","usd","150.00","300.00"
"central african republic","usd","97.50","195.00"
"chad","usd","97.50","195.00"
"chile","usd","75.00","150.00"
"china","usd","300.00","300.00"
"christmas island","usd","127.50","255.00"
"cocos (keeling) islands","usd","127.50","255.00"
"colombia","usd","75.00","150.00"
"comoros","usd","97.50","195.00"
"congo","usd","97.50","195.00"
"congo the democratic republic of the","usd","97.50","195.00"
"cook islands","usd","127.50","255.00"
"costa rica","usd","75.00","150.00"
"cote d&#8217;ivoire (ivory coast)","usd","97.50","195.00"
"croatia","usd","97.50","195.00"
"cuba","usd","75.00","150.00"
"cyprus","usd","97.50","195.00"
"czech republic","usd","97.50","195.00"
"denmark","usd","150.00","300.00"
"djibouti","usd","97.50","195.00"
"dominica","usd","75.00","150.00"
"dominican republic","usd","75.00","150.00"
"east timor","usd","127.50","255.00"
"ecuador","usd","75.00","150.00"
"egypt","usd","97.50","195.00"
"el salvador","usd","75.00","150.00"
"equatorial guinea","usd","97.50","195.00"
"eritrea","usd","97.50","195.00"
"estonia","usd","97.50","195.00"
"ethiopia","usd","97.50","195.00"
"falkland islands","usd","75.00","150.00"
"faroe islands","usd","97.50","195.00"
"fiji","usd","127.50","255.00"
"finland","eur","128.00","248.00"
"france","eur","128.00","248.00"
"french guiana","usd","75.00","150.00"
"french polynesia","usd","127.50","255.00"
"french southern territories","usd","150.00","300.00"
"gabon","usd","97.50","195.00"
"gambia","usd","97.50","195.00"
"georgia","usd","97.50","195.00"
"germany","eur","128.00","248.00"
"ghana","usd","97.50","195.00"
"gibraltar","eur","128.00","248.00"
"greece","eur","102.00","198.00"
"greenland","usd","150.00","300.00"
"grenada","usd","75.00","150.00"
"guadeloupe","usd","75.00","150.00"
"guam","usd","127.50","255.00"
"guatemala","usd","75.00","150.00"
"guinea","eur","83.00","161.00"
"guinea-bissau","eur","83.00","161.00"
"guyana","usd","75.00","150.00"
"haiti","usd","75.00","150.00"
"heard and mcdonald islands","usd","127.50","255.00"
"holy see (vatican city state)","usd","150.00","300.00"
"honduras","usd","75.00","150.00"
"hong kong","usd","300.00","300.00"
"hungary","usd","45.00","90.00"
"iceland","usd","150.00","300.00"
"india","usd","300.00","300.00"
"indonesia","usd","127.50","255.00"
"iran (islamic republic of)","usd","97.50","195.00"
"iraq","usd","97.50","195.00"
"ireland","usd","150.00","300.00"
"israel","usd","120.00","240.00"
"italy","eur","128.00","248.00"
"jamaica","usd","150.00","300.00"
"japan","jpy","15000.00","24000.00"
"jordan","usd","97.50","195.00"
"kazakhstan","usd","97.50","195.00"
"kenya","usd","97.50","195.00"
"kiribati","usd","127.50","255.00"
"korea north","usd","112.50","225.00"
"korea south","usd","300.00","300.00"
"kuwait","usd","120.00","240.00"
"kyrgyzstan","usd","97.50","195.00"
"lao people's democratic republic","usd","127.50","255.00"
"latvia","usd","97.50","195.00"
"lebanon","usd","97.50","195.00"
"lesotho","usd","97.50","195.00"
"liberia","usd","97.50","195.00"
"libyan arab jamahiriya","usd","97.50","195.00"
"liechtenstien","usd","97.50","195.00"
"lithuania","usd","97.50","195.00"
"luxembourg","eur","83.00","161.00"
"macau","usd","127.50","255.00"
"macedonia the former yugoslav republic of","usd","97.50","195.00"
"madagascar","usd","97.50","195.00"
"malawi","usd","97.50","195.00"
"malaysia","usd","127.50","255.00"
"maldives","usd","127.50","255.00"
"mali","usd","97.50","195.00"
"malta","usd","97.50","195.00"
"marshall islands","usd","127.50","255.00"
"martinique","usd","75.00","150.00"
"mauritania","usd","97.50","195.00"
"mauritius","usd","97.50","195.00"
"mayotte","usd","97.50","195.00"
"mexico","usd","75.00","150.00"
"micronesia federated states of","usd","127.50","255.00"
"moldova republic of","usd","97.50","195.00"
"monaco","usd","97.50","195.00"
"mongolia","usd","127.50","255.00"
"montserrat","usd","75.00","150.00"
"morocco","eur","83.00","161.00"
"mozambique","usd","97.50","195.00"
"myanmar","usd","127.50","255.00"
"nauru","usd","127.50","255.00"
"nepal","usd","127.50","255.00"
"netherlands","eur","128.00","248.00"
"netherlands antilles","usd","75.00","150.00"
"new caledonia","usd","150.00","300.00"
"new zealand","usd","150.00","300.00"
"nicaragua","usd","75.00","150.00"
"niger","usd","97.50","195.00"
"nigeria","usd","97.50","195.00"
"niue","usd","127.50","255.00"
"norfolk island","usd","127.50","255.00"
"northern mariana islands","usd","127.50","255.00"
"norway","usd","150.00","300.00"
"oman","usd","97.50","195.00"
"pakistan","usd","127.50","255.00"
"palau","usd","127.50","255.00"
"panama","usd","75.00","150.00"
"papua new guinea","usd","127.50","255.00"
"paraguay","usd","75.00","150.00"
"peru","usd","75.00","150.00"
"philippines","usd","127.50","255.00"
"pitcairn","usd","127.50","255.00"
"poland","usd","45.00","90.00"
"portugal","eur","128.00","248.00"
"puerto rico","usd","150.00","300.00"
"qatar","usd","97.50","195.00"
"republic of korea","usd","127.50","255.00"
"reunion","usd","97.50","195.00"
"romania","usd","45.00","90.00"
"russian federation","usd","45.00","90.00"
"rwanda","usd","45.00","90.00"
"saint kitts and nevis","usd","75.00","150.00"
"saint lucia","usd","75.00","150.00"
"saint vincent and the grenadines","usd","75.00","150.00"
"samoa","usd","127.50","255.00"
"san marino","usd","97.50","195.00"
"sao tome and principe","usd","97.50","195.00"
"saudi arabia","usd","120.00","240.00"
"senegal","usd","45.00","90.00"
"serbia and montenegro","usd","97.50","195.00"
"seychelles","usd","45.00","90.00"
"sierra leone","usd","45.00","90.00"
"singapore","usd","127.50","255.00"
"slovakia (slovak republic)","usd","97.50","195.00"
"slovenia","usd","45.00","90.00"
"solomon islands","usd","127.50","255.00"
"somalia","usd","45.00","90.00"
"south africa","usd","45.00","90.00"
"south georgia and the south sandwich islands","usd","75.00","150.00"
"spain","eur","128.00","248.00"
"sri lanka","usd","127.50","255.00"
"st. helena","usd","97.50","195.00"
"st. pierre and micquelon","usd","97.50","195.00"
"sudan","usd","97.50","195.00"
"suriname","usd","75.00","150.00"
"svalbard and jan mayen islands","usd","97.50","195.00"
"swaziland","usd","45.00","90.00"
"sweden","usd","150.00","300.00"
"switzerland","usd","150.00","300.00"
"syrian arab republic","usd","97.50","195.00"
"taiwan province of china","usd","127.50","255.00"
"tajikistan","usd","97.50","195.00"
"tanzania united republic of","usd","45.00","90.00"
"thailand","usd","127.50","255.00"
"togo","usd","45.00","90.00"
"tokelau","usd","127.50","255.00"
"tonga","usd","127.50","255.00"
"trinidad and tobago","usd","150.00","300.00"
"tunisia","eur","83.00","161.00"
"turkey","usd","45.00","90.00"
"turkmenistan","usd","97.50","195.00"
"turks and caicos islands","usd","75.00","150.00"
"tuvalu","usd","127.50","255.00"
"uganda","usd","45.00","90.00"
"ukraine","usd","97.50","195.00"
"united arab emirates","usd","120.00","240.00"
"united kingdom","gbp","94.00","187.00"
"united states","usd","150.00","300.00"
"united states minor outlying islands","usd","75.00","150.00"
"uruguay","usd","75.00","150.00"
"uzbekistan","usd","97.50","195.00"
"vanuatu","usd","127.50","255.00"
"venezuela","usd","75.00","150.00"
"viet nam","usd","127.50","255.00"
"virgin islands british","usd","75.00","150.00"
"virgin islands us","usd","75.00","150.00"
"wallis and futuna islands","usd","127.50","255.00"
"western sahara","usd","45.00","90.00"
"yemen","usd","97.50","195.00"
"zambia","usd","45.00","90.00"
"zimbabwe","usd","45.00","90.00"
