"NULL","NULL","NULL","NULL","NULL","NULL"
"NULL","NULL","NULL","NULL","NULL","NULL"
"2x3 Art. No.","TLCD","PVIENO","TIWEP","TIW","UBOARD"
"Technology","infrared (IR)","Anoto digital printing","infrared (IR)","infrared (IR)","infrared (IR)"
"Way of operating","any pointer including a finger","electronic stylus","any pointer including a finger","electronic stylus","electronic stylus"
"PC communication","{wireless (bluetooth)|USB cable}","wireless (bluetooth)","USB cable","{USB cable|wireless (bluetooth)}","{USB cable|wireless (bluetooth)}"
"Surface","LCD","ceramic","ceramic","ceramic","any flat surface"
"Number of calibration points","9","4 6 or 9","6","9","9"
"Dry-wipe properties","NO","YES","YES","YES","NO"
"Magnetic properties","NO","YES","YES","YES","NO"
"Optional stand","YES","YES","YES","YES","NO"
"Educational software","NO","YES","NO","NO","NO"
