"","IDSF International Open Standard","Amateur","Ballroom","26 Sep 2009"
"","Norsk Adult Standard","Amateur","Ballroom","26 Sep 2009"
"","Junior I Standard","Junior","Ballroom","26 Sep 2009"
"","Junior II Standard","Junior","Ballroom","26 Sep 2009"
"","Norsk Youth Standard","Youth","Ballroom","26 Sep 2009"
"","Norwegian Cup Youth Standard","Youth","Ballroom","26 Sep 2009"
"","IDSF International Open Latin","Amateur","Latin","27 Sep 2009"
"","Norsk Adult Latin","Amateur","Latin","27 Sep 2009"
"","Junior I Latin","Junior","Latin","27 Sep 2009"
"","Junior II Latin","Junior","Latin","27 Sep 2009"
"","Norsk Youth Latin","Youth","Latin","27 Sep 2009"
"","Norwegian Cup Youth Latin","Youth","Latin","27 Sep 2009"
