"company  ","symbol  ","industry  ","date added  "
"3m","mmm","diversified industrials","1976-08-09 (as minnesota mining and manufacturing)"
"alcoa","aa","aluminum","1959-06-01 (as aluminum company of america)"
"american   express","axp","consumer   finance","1982-08-30"
"at&amp;t","t","telecommunication","1999-11-01 (as sbc communications)"
"bank of   america","bac","institutional and retail banking","2008-02-19"
"boeing","ba","aerospace &amp; defense","1987-03-12"
"caterpillar","cat","commercial   vehicles &amp; trucks","1991-05-06"
"chevron   corporation","cvx","oil and gas","2008-02-19"
"citigroup","c","banking","1997-03-17 (as travelers group)"
"coca-cola","ko","beverages","1987-03-12"
"dupont","dd","commodity chemicals","1935-11-20"
"exxonmobil","xom","integrated oil &amp; gas","1928-10-01 (as standard oil (n.j.))"
"general   electric","ge","diversified industrials","1907-11-07"
"general   motors","gm","automobiles","1925-08-31"
"hewlett-packard","hpq","diversified computer systems","1997-03-17"
"home   depot","hd","home   improvement retailers","1999-11-01"
"intel","intc","semiconductors","1999-11-01"
"ibm","ibm","computer services","1979-06-29"
"johnson   &amp; johnson","jnj","pharmaceuticals","1997-03-17"
"jpmorgan   chase","jpm","banking","1991-05-06 (as j.p. morgan &amp; company)"
"kraft foods","kft","food processing","2008-09-22"
"mcdonald's","mcd","restaurants &amp; bars","1985-10-30"
"merck","mrk","pharmaceuticals","1979-06-29"
"microsoft","msft","software","1999-11-01"
"pfizer","pfe","pharmaceuticals","2004-04-08"
"procter   &amp; gamble","pg","non-durable household products","1932-05-26"
"united technologies   corporation","utx","aerospace heating/cooling elevators","1939-03-14 (as united aircraft)"
"verizon communications","vz","telecommunication","2004-04-08"
"walmart","wmt","broadline retailers","1997-03-17"
"walt   disney","dis","broadcasting &amp; entertainment","1991-05-06"
