"label","Wikipage page ID"
"Peninsula Museum of Art","46543193"
"Перынь","46493621"
"Pic Mobert North","47008654"
"Pic Mobert South","47008748"
"Pidlyssia","46354561"
"Pinacoteca Giovanni Morscio","46591546"
"Piplantri","46235206"
"Piraten in Batavia","46515293"
"Poblacion I, Calamba","46533680"
"Národní park Podyjí",""
"Politics of Chandigarh","47783381"
"Poly Wells Field","46571874"
"Poona Gymkhana Ground",""
"Port Canal Shopping Centre","47772299"
"Port Trust Diamond Jubilee Stadium",""
"Postal museum, Colombo","46863915"
"Pradhan Mantri Mudra Yojana","47719177"
"Pratt Institute Libraries",""
"Princeton United Methodist Church","46659947"
"Pringle Cottage","46753260"
