"Age:","22",""
"Height:","5'0 - 5'4",""
"Weight:","100 - 115 lbs",""
"Build:","petite",""
"Hair:","shoulder length black","shoulder length black"
"Eye Color:","black","black"
"Breast Size:","normal","normal"
"Sex Pref:","bisexual","bisexual"
"Ethnicity:","asian","asian"
"Language:","EnglishFrench","EnglishFrench"
"Profile:","i am a horny girl who loves cumming for my guests. i like guests who gives me time to cum. i really squirt when i cum.","i am a horny girl who loves cumming for my guests. i like guests who gives me time to cum. i really squirt when i cum."
"Turn Ons:","i get wet and horny when my guests talks dirty to me. i love role playing.  i have an array of costumes for it. i have  garter belt stockings  schoolgirl  maid & nurse uniform. i also have vibrators to help me cum.","i get wet and horny when my guests talks dirty to me. i love role playing.  i have an array of costumes for it. i have  garter belt stockings  schoolgirl  maid & nurse uniform. i also have vibrators to help me cum."
"Turn Offs:","i just want to see you all in my room.  lets fuck guyssss.. hugs and kisses. mwaah","i just want to see you all in my room.  lets fuck guyssss.. hugs and kisses. mwaah"
"NULL","aaSquirtyCunt Free Chat","aaSquirtyCunt Free Chat"
