"Geburtsort","birth place","label"
"http://dbpedia.org/resource/County_Galway","http://dbpedia.org/resource/County_Galway","Murt Connolly"
"","http://dbpedia.org/resource/County_Cork","Nollaig Cleary"
"http://dbpedia.org/resource/Dungarvan_GAA","http://dbpedia.org/resource/County_Waterford","Patrick Curran (hurler)"
"http://dbpedia.org/resource/County_Galway","http://dbpedia.org/resource/Ballinasloe","Paul Killeen (hurler)"
"http://dbpedia.org/resource/County_Tipperary","http://dbpedia.org/resource/County_Tipperary","Philly Ryan (Gaelic footballer)"
"","http://dbpedia.org/resource/Ballinasloe","Pádraic Mannion"
"","http://dbpedia.org/resource/Galway","Pádraig Brehony"
"http://dbpedia.org/resource/Aghada_GAA","http://dbpedia.org/resource/County_Cork","Ronan Dwane"
"http://dbpedia.org/resource/Limerick","http://dbpedia.org/resource/Limerick","Ronan Lynch"
"http://dbpedia.org/resource/Cork_GAA","http://dbpedia.org/resource/Cork_(city)","Seán Hayes (Gaelic footballer)"
"http://dbpedia.org/resource/Ballysaggart_GAA","http://dbpedia.org/resource/County_Waterford","Shane Bennett (hurler)"
"","http://dbpedia.org/resource/Galway","Shane Moloney"
"http://dbpedia.org/resource/Ballysaggart_GAA","http://dbpedia.org/resource/County_Waterford","Stephen Bennett (hurler)"
"http://dbpedia.org/resource/County_Tipperary","http://dbpedia.org/resource/County_Tipperary","Séamus McCarthy (Gaelic footballer)"
"","","Tiernan McCann"
"http://dbpedia.org/resource/County_Waterford","http://dbpedia.org/resource/County_Waterford","Tom Devine (hurler)"
"","","Donal Shine"
"","","James Black (hurler)"
"","","Joey Boland"
"","","John Barron (hurler)"
