"Raw Materials","------------------- in Rs. Cr. -------------------","------------------- in Rs. Cr. -------------------","Mar 2011"
"Product Name","Unit","Quantity","Value"
"Raw Sugar","Metric Tonnes","336538","1009.88"
"Sugar Cane","Metric Tonnes","2356303","471.11"
"Molasses","Metric Tonnes","205816","117.20"
"Soya Bean","Metric Tonnes","27995","68.69"
"Soya Flour","Metric Tonnes","7492","19.40"
"News Print/Maplitho/Glaze Paper","Reams","3421","0.26"
"NULL","NULL","NULL","NULL"
"NULL","NULL","NULL","NULL"
"NULL","NULL","NULL","NULL"
"Total","NULL","NULL","1686.54"
