"Wikipage page ID","Wikipage revision ID","label"
"46392377","680927877","The Rising of the Shield Hero"
"","","The Rose of Versailles"
"","","双星の陰陽師"
"","","最弱無敗の神装機竜"
"47030250","683677148","ヤング ブラック・ジャック (漫画)"
"45597994","","青春×機関銃"
"","","Attack on Titan: Junior High"
"45496456","","Beautiful Bones -Sakurako's Investigation-"
"","","Complex Age"
"47151774","","コンクリート・レボルティオ〜超人幻想〜"
"47432176","683801742","Dance with Devils"
"","","Dimension W"
"47587373","683221611","不思議なソメラちゃん"
"","","ふたがしら"
"47640287","678068202","Hai-Furi"
"47085760","683567028","Komori-san Can't Decline"
"","","ミリオンドール"
"47486158","675531778","南鎌倉高校女子自転車部"
"45397527","682655227","無職轉生～到了異世界就拿出真本事～"
"47526541","","Myriad Colors Phantom World"
