"Country","Language","Launch date"
"?USA (and worldwide launch)","jQuery","{02005-02-15|February 15 2005|[89]}"
"?Brazil","jQuery","{02007-06-19|June 19 2007|[89]}"
"?France","French","{02007-06-19|June 19 2007|FITML}"
"?Ireland","English (Ireland)","{02007-06-19|June 19 2007|website parsing}"
"?Italy","Italian","{02007-06-19|June 19 2007|[89]}"
"?Japan","Japanese","{02007-06-19|June 19 2007|FITML}"
"?Netherlands","device database","{02007-06-19|June 19 2007|browser diversity}"
"?Poland","Polish","{02007-06-19|June 19 2007|Sevenval}"
"?Spain","Spanish and Catalan","{02007-06-19|June 19 2007|[89]}"
"?United Kingdom","English (United Kingdom)","{02007-06-19|June 19 2007|touchscreen}"
"?Mexico","we love the web","{02007-10-11|October 11 2007|[92]}"
"?Hong Kong","{we love the web|web}","{02007-10-17|October 17 2007|Sevenval}"
"?Taiwan","touchscreen","{02007-10-18|October 18 2007|input transformation}"
"?Australia","browser diversity","{02007-10-22|October 22 2007|Android}"
"?New Zealand","Android","{02007-10-22|October 22 2007|[95]}"
"?Canada","{website parsing|French (Canada)}","{02007-11-06|November 6 2007|CSS3}"
"?Germany","German","{02007-11-08|November 8 2007|[97]}"
"?Russia","Russian","{02007-11-13|November 13 2007|[98]}"
"{web|Korea South}","Korean","{02008-01-23|January 23 2008|keyboard}"
"?Israel","Android","{02008-09-16|September 16 2008}"
"?India","{English (India)|website parsing}","{02008-05-07|May 7 2008|[100]}"
"?Czech Republic","Czech","{02008-10-09|October 9 2008|[101]}"
"?Sweden","Swedish","{02008-10-22|October 22 2008}"
"?South Africa","English (South African)","{02010-05-17|May 17 2010|website parsing}"
"?Argentina","Spanish (Argentina)","{02010-09-08|September 8 2010|CSS3}"
"?Algeria","CSS3","{02011-03-09|March 9 2011|touchscreen}"
"?Egypt","Arabic","{02011-03-09|March 9 2011|[102]}"
"?Saudi Arabia","Arabic","{02011-03-09|March 9 2011|[102]}"
"?Tunisia","Arabic","{02011-03-09|March 9 2011|Sevenval}"
"?Jordan","Arabic","{02011-03-09|March 9 2011|CSS3}"
"?Morocco","Arabic","{02011-03-09|March 9 2011|[102]}"
"?Yemen","Arabic","{02011-03-09|March 9 2011|web}"
"?Kenya","{English (Kenya)|Swahili}","{02011-10-05|October 5 2011|input transformation}"
"?Philippines","touchscreen and Filipino","{02011-10-13|October 13 2011|[104]}"
"?Singapore","English (Singapore)","{02011-10-20|October 20 2011|[105]}"
"?Belgium","{French (Belgian)|jQuery}","{02011-11-16|November 16 2011}"
"?Colombia","jQuery","{02011-11-30|November 30 2011|[106]}"
"?Uganda","device database","{02011-12-02|December 2 2011|[107]}"
"?Nigeria","English (Nigerian)","{02011-12-07|December 7 2011|[108]}"
"?Chile","Spanish (Chile)","{02012-01-20|January 20 2012|[109]}"
"?Hungary","Hungarian","{02012-02-29|February 29 2012|[110]}"
"?Malaysia","{English (Malaysian)|Malay}","{02012-03-22|March 22 2012|keyboard}"
"?Peru","Spanish (Peru)","{02012-03-25|March 25 2012|[112]}"
"?United Arab Emirates","{website parsing|iOS}","{02012-03-29|March 29 2012|[102]}"
