"1","les m&eacute;tiers de l'h&ocirc;tellerie et de la restauration","&nbsp;","onisep office national d'information sur les enseignements &amp; les professions"
"2","le monde touristique et h&ocirc;telier - notions + activit&eacute;s","&nbsp;","celaf centre de langue fran&ccedil;aise / ccip - france"
"3","fran&ccedil;ais du tourisme en tha&iuml;lande - activit&eacute;s vari&eacute;es","2","french for tourism / tcu thailand cyber university - tha&iuml;lande"
"4","manuel fran&ccedil;ais du tourisme + guide p&eacute;dagogique + lexique","&nbsp;","emilie viret-thasiniphone / universit&eacute; nationale du laos   valofrase"
"5","site de fran&ccedil;ais du tourisme et de l'h&ocirc;tellerie - activit&eacute;s vari&eacute;es","&nbsp;","mireille spalacci / appuifle tourisme - espagne"
"6","&agrave; l'&eacute;coute des professionnels du tourisme ( vid&eacute;os 'lesmetiers.net' )","&nbsp;","mireille spalacci / appuifle tourisme - espagne"
"7","les &eacute;crits du tourisme","&nbsp;","fr&eacute;d&eacute;ric brosson et marie-jos&eacute; bauer / docfle - france"
"8","{h&ocirc;tellerie et restauration - cours en vid&eacute;o|&raquo; voir cours en vid&eacute;o}","&nbsp;","webtv restauration / crdp de l'acad&eacute;mie de versailles - france"
"9","fran&ccedil;ais de l'h&ocirc;tellerie - recettes en or - (niveau b1)","2","le projet franel / edumatic - belgique"
"10","des quiz dans le domaine de la restauration - quiz bep restaurant","&nbsp;","restocours - france"
"11","des quiz dans le domaine de la restauration - quiz bac pro restaurant","&nbsp;","restocours - france"
