"label","Wikipage page ID"
"Shalaa","47937083"
"Shavian (horse)","47225976"
"Starborough",""
"Zafeen","47151758"
"Arabian Queen","47575234"
"Bahamian Pirate","47718891"
"Bondi Beach (horse)","47795233"
"Borderlescott",""
"Catchascatchcan","47983189"
"Chimes of Freedom (horse)","47102860"
"Coastal Bluff","47854343"
"Court Masterpiece","47471975"
"Distant View","47327915"
"Dylan Mouth","47335469"
"Excellent Art",""
"Gold Splash",""
"Golden Opinion","47116577"
"Hamas (horse)","47596328"
"Jwala (horse)",""
"Keen Ice","47667270"
