"&nbsp;","song title","time","price","&nbsp;"
"","&nbsp; 1. rubber teevee","3:24","not available","NULL"
"","&nbsp; 2. mili","5:33","not available","NULL"
"","&nbsp; 3. the abbot","3:37","not available","NULL"
"","&nbsp; 4. synesthesia","4:13","not available","NULL"
"","&nbsp; 5. anti-acid","3:21","not available","NULL"
"","&nbsp; 6. think like a monkey","4:11","not available","NULL"
"","&nbsp; 7. kuluni","6:55","not available","NULL"
"","&nbsp; 8. mondo diddley","2:40","not available","NULL"
"","&nbsp; 9. zombie corazones","4:05","not available","NULL"
"","10. old man john","1:12","not available","NULL"
"","11. under stress","4:16","not available","NULL"
