"Company","Sales        ($million)","Industry","Employees","Location"
"Walt Disney","37843","Entertainment","144000","Burbank"
"Northrop        Grumman","33940","Aerospace","123600","Los Angeles"
"Occidental        Petroleum","24480","Energy","10400","Los Angeles"
"DIRECTV        Group","19693","Entertainment","19600","El Segundo"
"Health Net","15367","Health Care","9600","Woodland Hills"
"Edison        International","14112","Utilities","18300","Rosemead"
"Jacobs Engineering        Group","11252","Construction","38900","Pasadena"
"Reliance Steel &amp;        Aluminum","8719","Metals/Mining","10200","Los Angeles"
"Dole Food","7732","Food Processing","75800","Westlake Village"
"Avery        Dennison","6710","Packaging","35700","Pasadena"
"Mattel","5918","Toys","29000","El Segundo"
"AECOM        Technology","5216","Engineering/Construction","43200","Los Angeles"
"CB Richard Ellis        Group","5130","Real Estate","30000","El Segundo"
"Live Nation        Entertainment","4327","Entertainment","4700","Beverly Hills"
"Unified        Grocers","4105","Food Wholesale","3400","Commerce"
"Molina        Healthcare","3112","Health Care","2500","Long Beach"
"KB Home","3034","Engineering/Construction","1600","Los Angeles"
"Activision        Blizzard","2898","Computer Software","7000","Santa Monica"
"Mercury        General","2414","Insurance","5000","Los Angeles"
"Guess","2093","Apparel","10800","Los Angeles"
"Ryland Group","1976","Construction","1300","Calabasas"
"Public        Storage","1746","Storage Facilities","5200","Glendale"
