"birth place","Geburtsdatum","label","Geburtsort"
"http://dbpedia.org/resource/Anna,_Illinois","1993-01-30","Crystal Davis","http://dbpedia.org/resource/Anna,_Illinois"
"","","Cynthia Bir",""
"http://dbpedia.org/resource/United_Kingdom","1986-05-10","Cyrus Mahboubian","http://dbpedia.org/resource/United_Kingdom"
"","","Cédric Blaisbois","http://dbpedia.org/resource/Paris"
"http://dbpedia.org/resource/Chapecó","1982-11-13","Cícero Moraes","http://dbpedia.org/resource/Chapecó"
"","","D-Wayne","http://dbpedia.org/resource/Eindhoven"
"England","","D4nny",""
"Lagos, Nigeria","","DJ Cuppy","http://dbpedia.org/resource/Lagos"
"","","DJ Diass","http://dbpedia.org/resource/Bulgaria"
"http://dbpedia.org/resource/Belgium","","DJ Dopefish","http://dbpedia.org/resource/Belgium"
"http://dbpedia.org/resource/Christiansted,_U.S._Virgin_Islands","","DJ Many (musician)","http://dbpedia.org/resource/Christiansted,_U.S._Virgin_Islands"
"","","DJ Ritendra","http://dbpedia.org/resource/Bua_Province"
"","","DJ Seip","http://dbpedia.org/resource/Landshut"
"http://dbpedia.org/resource/South_Carolina","","DSharp","http://dbpedia.org/resource/South_Carolina"
"","1982","DVS1",""
"http://dbpedia.org/resource/Saitama_Prefecture","","佐々木大樹 (レーサー)","http://dbpedia.org/resource/Saitama_Prefecture"
"","","Daina Skadmane",""
"","1979","Daisuke Nakazawa",""
"","","Dale and Patricia Keller",""
"","","Dalita Avanesian","http://dbpedia.org/resource/Tehran"
