"label","Geburtsdatum"
"Victoria Atkins","1976"
"Wijepala Hettiarachchi",""
"Carol Baird Ellan",""
"Harshana Rajakaruna",""
"Imran Maharoof","1983-09-01"
"Kavinda Jayawardena",""
"Ruth Smeeth",""
"Assad Murtaza Gilani",""
"M. L. Ahamed Fareeth","1940-04-18"
"A. A. Wijethunga","1957-11-16"
"A. Aravind Kumar","1954-11-17"
"A. R. A. Hafeez",""
"A. R. A. M. Abubucker","1912-03-31"
"Amrin Amin",""
"Ananda Aluthgamage",""
"Ananda Kumarasiri","1954-03-25"
"Angajan Ramanathan","1983-07-09"
"Bernd Fabritius",""
"Chaminda Wijesiri",""
"Chandima Gamage",""
