"Title","Author","Medium"
"301    Smart Answers to Tough Interview Questions","Vicky    Oliver","Text"
"Attitude","Elwood    Chapman","Text"
"Between    People","John    A. Sanford","Text"
"Companies    Don&rsquo;t Succeed&hellip;&hellip;People Do","Mac    Anderson","Text"
"The    Complete Idiot&rsquo;s Guide to Assertiveness","Jeff    Davidson","Text"
"The    Complete Idiot&rsquo;s Guide to Managing Your Time","Jeff    Davidson MBA CMC","Text"
"The    Complete Idiot&rsquo;s Guide to Overcoming Procrastination","Michelle    Tullier Ph.D.","Text"
"The    Complete Idiot&rsquo;s Guide to Reaching your Goals","Jeff    Davidson","Text"
"The    Complete Idiot&rsquo;s Guide to Successful Dressing","Karyn    Repinski","Text"
"Coping    with Workplace Change","J.    Shep Jeffreys","Text"
"Developing    Positive Assertiveness","&nbsp;","VHS    (Group Training)"
"Developing    Positive Assertiveness","Sam    R. Lloyd","Text"
"Do    What You Are","Paul    Tieger and Barbara Barron-Tieger","Text"
"Do    What You Love The Money Will Follow","Marsha    Sinetar","Text"
"First    Aid for Stress:&nbsp; 34 Activities for    Managing Stress in the Workplace","Roy    Bailey","Text"
"Gestures","Roger    E. Axtell","Text"
"Influencing    Others","William    Nothstine","Text"
"Internship    Success","Marianne    Ehrlich Green","Text"
"Learning    on the Job","Steven    F. Wilson","Text"
"Making    Humor Work","Terry    L. Paulson","Text"
"Making    Humor Work","Terry    L. Paulson","VHS    (Group Training)"
"Managing    Change","Mary    Kay Beeby","VHS    (Group Training)"
"Managing    Change at Work","Scott    &amp; Jaffe","Text"
"Managing    Personal Change","Scott    &amp; Jaffe","Text"
"Managing    Stress for Mental Fitness","Raber    &amp; Dyck","Text"
"Manage    Your Time","&nbsp;","Video;    Audio; Text"
"Organizing    Your Workspace","Odette    Pollar","Text"
"Personal    Time Management","Marion    E. Haynes","Text"
"Plan    Your Work/Work Your Plan","James    R. Sherman","Text"
"Preparing    for Your Interview","Diane    Berk","Text"
"Skills    for Success","Adele    Scheele Ph.D.","Text"
"Stop    Procrastinating!","James    Sherman","Text"
"Survival    Skills for the Workplace","Sudler    &amp; Weinstein","Reproducible    Handouts"
"Team    Problem Solving","Sandy    Pokras","Text"
"The    Everything Time Management Book","&nbsp;Bob Adams","Text"
"Time    Management","&nbsp;","VHS    (Group Training)"
"Time    Management: A Productivity Plan","Costal","VHS"
"Wellness    in the Workplace","Merlene    Sherman","Text"
"Where    Do I Go From Here With the Rest of My Life?","Crystal    and Bolles","Text"
"Working    on Teams","Sandy    Pokras","Text"
