"Geburtsdatum","label","birth place"
"1990","Emily Skeggs","New York City"
"","Emma Marris",""
"","Emmanuel "Manny" Mijares",""
"1993-06-08","Enzo Knol","http://dbpedia.org/resource/Assen"
"","Eric Joris",""
"1971","Eric Minh Swenson",""
"","Eric Ng","http://dbpedia.org/resource/Singapore"
"1934-06-08","Erik Jayme","Montreal"
"1985-09-22","Erin Marie Hogan","http://dbpedia.org/resource/St._Louis"
"","Ernst Simon Glaser",""
"","Esther Anil","http://dbpedia.org/resource/Kerala"
"","Ethan Farmer",""
"","Etherwood",""
"","Eugenio Bonivento","http://dbpedia.org/resource/Italy"
