"&nbsp;","name","locations       &amp; numbers"
"1","grey       francolin","10       ku � 4 ra"
"2","black       francolin","8       cor"
"3","barred       buttonquail","heard only       ra"
"4","painted       spurfowl","6       ra"
"5","red       junglefowl","4       cor"
"6","kalij       pheasant","heard       only st"
"7","common       peafowl","common       throughout"
"8","lesser       whistling-duck","30+       bb"
"9","comb       duck","20+       ch � 20+ bb"
"10","greylag       goose","100+       ob � 6 bb"
"11","bar-headed       goose","common       at ob � ch � ba � ra (total 300+)"
"12","ruddy       shelduck","common       at ob � ch � ba � ra (total 300+)"
"13","gadwall","10       ob � 25+ bb"
"14","eurasian       wigeon","common       at ob and bb (250+)"
"15","spot-billed       duck","50+       ob � 10 ba � 10 bb"
"16","cotton       pygmy-goose","30+       bb"
"17","green-winged       teal","20+       ob � 15 cor � 10 ch � 10 ra"
"18","garganey","10       ba � 10+ bb"
"19","northern       pintail","common       at ob and bb (250+)"
"20","northern       shoveler","6       ba and very common at ob and bb (400+)"
"21","red-crested       pochard","3       ch"
"22","common       pochard","30+       ob and 30+ bb"
"23","ferruginous       pochard","6       bb"
"24","tufted       duck","10+       ob"
"25","common       merganser","1       female at kosi river"
"26","eurasian       wryneck","2       ra near hotel"
"27","speckled       piculet","1       cor"
"28","great       slaty woodpecker","heard       only at cor"
"29","brown-capped       woodpecker","1       cor"
"30","grey-capped       woodpecker","2       cor"
"31","brown-fronted       woodpecker","1       st"
"32","fulvous-breasted       woodpecker","3       cor � 1 pa"
"33","yellow-crowned       woodpecker","1       pa � 1 bb"
"34","lesser       yellownape","3       cor"
"35","greater       yellownape","1       cor � 1 pa"
"36","streak-throated       woodpecker","3       cor"
"37","grey-headed       woodpecker","10+       cor"
"38","black-rumped       flameback","2       cor � 1 ch � 2 ba"
"39","greater       flameback","2       cf"
"40","white-naped       woodpecker","2       ra"
"41","great       barbet","6       st"
"42","brown-headed       barbet","4       ch � 2 ba"
"43","lineated       barbet","3       cor"
"44","blue-throated       barbet","2       cor"
