"COUNTRY","LANGUAGE","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","WORD FOR MORINGA TREE"
"Belize","Spanish","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","Maranga calalu"
"Brazil","Portuguese","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","Cedra"
"Cayman Islands","Spanish","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","Mawonga"
"Colombia","Spanish","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","Angela Aceitoso Marango Aceite Colirio Goma Jeringa Maranjo Marangon Sen de la tierra"
"Costa Rica","Spanish","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","Marango Marangon"
"Cuba","Spanish","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","Palo de Tambor Palo de Jeringa Acacia Ben Calicita Leno nefr&iacute;tico Palo blanco Para&iacute;so franc&eacute;s"
"Dominican Republic","Spanish","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","Libertad Palo de abejas Palo de aceite Ben La libertad"
"Dutch Antilles","Dutch","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","Ben boom"
"&nbsp;","Spanish","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","Brenolli Morenga Orselli"
"El Salvador","Spanish","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","Teberinto Ceiba Marengua Narango Para&iacute;so extranjero"
"French Guiana","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","Saijhan"
"Guadeloupe","Spanish","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","Ben-ail&eacute; Moloko Maloko"
"Guatemala","Spanish","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","Para&iacute;so blanco Perlas Perla"
"Haiti","French","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","Bambou-bananier Ben oleifere Benzolive Benzolivier Doliv Graines benne Ben oleifere Bambou-bananier Olivier"
"&nbsp;","English","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","Benzolive tree"
"Honduras","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","Maranga calalu"
"Mexico","Spanish","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","Arbol e las perlas Chinto borrgo Flor de Jacinto Jacinto Para&iacute;so blanco Para&iacute;so de Espana Perla Perlas Perla de la India Perlas del oriente San Jacinto"
"Nicaragua","Spanish","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","Marango Maranjo Marangon"
"Panama","Spanish","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","Jacinto"
"Panama Canal Zone","English","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","Horseradish tree"
"Puerto Rico","Spanish","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","Ben Jasmin franc&eacute;s Resada Angela Colirio Sen de la tierra"
"San Salvador","Spanish","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","Marango Marangon Maranjo"
"Suriname","Dutch","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","Peperwortel boom"
"&nbsp;","Indonesian","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","Kelor"
"Trinidad","Hindi?","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","Saijan"
"Venezuela","Spanish","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","Aceite de Ben Azucarillo Ben Sen"
"Other","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","Arbol do los asp&aacute;ragos Bamboubamamoer Cedro Cenauro Chinto borrego Chuva de prata Desenga&ntilde;o Gailito Guaire&ntilde;a Hoja de sen Macasar Marenque Moongay Moriengo Noz de bem Orengo Palo de geringa Palo jeringa Para&iacute;so Pois quinique Quiabo de tres quinas Sainto John Salaster Salibau Sen Seringa"
