"label","Geburtsort"
"Rustam Waliullin","http://dbpedia.org/resource/Russian_Soviet_Federative_Socialist_Republic"
"Dimitar Drazhev",""
"Petter Tande",""
"Vegard Opaas",""
"Lina Andersson",""
"Virpi Kuitunen",""
"Benny Kohlberg",""
"Frank Wörndl",""
"Heinz Kuttin",""
"Hubert Neuper",""
"Peter Žonta",""
"Primož Ulaga",""
"Stefan Horngacher",""
"Alex Puente Tasias","http://dbpedia.org/resource/Barcelona"
"Kanes Sucharitakul","http://dbpedia.org/resource/Bangkok"
"Massimo Rigoni","http://dbpedia.org/resource/Asiago"
"Pieris Pieri",""
"Tess Arbez",""
"Yury Shapkin","http://dbpedia.org/resource/Russian_Soviet_Federative_Socialist_Republic"
"Anastasiia Gorbunova","http://dbpedia.org/resource/Ukraine"
