"palm      tree list","5gal","15gal","24&quot;box"
"acoelorraphe      wrightii","$45.00","$135.00","$435.00"
"acanthophoenix      crinita","&nbsp;","&nbsp;","&nbsp;"
"acanthophoenix      rubra","&nbsp;","&nbsp;","&nbsp;"
"acrocomia      aculeata","&nbsp;","$225.00","$520.00"
"actinokentia      divaricata","$75.00","&nbsp;","&nbsp;"
"actinorhytis      calapparia","$55.00","&nbsp;","$520.00"
"adonidia      merrillii","&nbsp;","$135.00","&nbsp;"
"adonidia      merrillii","&nbsp;","&nbsp;","&nbsp;"
"aiphanes      caryotifolia","$55.00","$135.00","&nbsp;"
"aiphanes      lindeniana","&nbsp;","&nbsp;","&nbsp;"
"aiphanes      minima","$55.00","&nbsp;","&nbsp;"
"allagoptera      arenaria","$65.00","&nbsp;","&nbsp;"
"alloschmidia      glabrata","$185.00","&nbsp;","&nbsp;"
"alsmithia      longipes","&nbsp;","&nbsp;","&nbsp;"
"archontophoenix      alexandra","$65.00","$135.00","$375. -$720."
"archontophoenix      cunninghamiana","$30.00","$98.00","$185.-$375."
"archontophoenix      maxima","$55.00","&nbsp;","&nbsp;"
"archontophoenix      myolensis","$55.00","$185.00","&nbsp;"
"archontophoenix      purpurea","$55.00","$185.00","$425.00"
"archontophoenix      tuckerii","$44.00","&nbsp;","$450.00"
"areca      catechu","&nbsp;","&nbsp;","&nbsp;"
"areca      catechu","&nbsp;","&nbsp;","&nbsp;"
"areca      gasterocarpa","&nbsp;","&nbsp;","&nbsp;"
"areca      guppyana","$55.00","&nbsp;","&nbsp;"
"areca      leterocarpa","&nbsp;","&nbsp;","&nbsp;"
"areca      triandra","$55.00","$185.00","&nbsp;"
"areca      vestiaria","&nbsp;","&nbsp;","&nbsp;"
"areca      vestiaria (red form)","&nbsp;","$135.00","&nbsp;"
"areca      vestiaria (clumping form)","&nbsp;","$135.00","&nbsp;"
"arenga      australasica","&nbsp;","$165.00","&nbsp;"
"arenga      caudata","$55.00","&nbsp;","&nbsp;"
"arenga      englerei","&nbsp;","&nbsp;","&nbsp;"
"arenga      hastata","&nbsp;","&nbsp;","&nbsp;"
"arenga      hookeriana","&nbsp;","&nbsp;","&nbsp;"
"arenga      micrantha","&nbsp;","&nbsp;","&nbsp;"
"arenga      pinnata","$55.00","&nbsp;","$525.00"
"arenga      tremula","&nbsp;","&nbsp;","&nbsp;"
"arenga      undulatifolia","$55.00","&nbsp;","&nbsp;"
