"&nbsp;Industry","&nbsp;Items","&nbsp;Fiscal","&nbsp;VAT(%)"
"&nbsp;Fishing","&nbsp;1. Automotive Diesel Oil","&nbsp;2 cents/ litre","&nbsp;15"
"&nbsp;","&nbsp;2. Specialised fishing gear and equipment&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","&nbsp;Free","&nbsp;15"
"&nbsp;","&nbsp;3. Fish baits","&nbsp;&nbsp;Free","&nbsp;15"
"&nbsp;","&nbsp;4. Specialised fishing vessels&nbsp;","&nbsp;&nbsp;Free","&nbsp;15"
"&nbsp;&nbsp;&nbsp;&nbsp; Approved operators&nbsp; engaged in 100% export&nbsp;","&nbsp;1.&nbsp;Sharks fin","&nbsp;&nbsp;Free","&nbsp;15"
"&nbsp;","&nbsp;2.&nbsp;Live fish&nbsp;","&nbsp;&nbsp;Free","&nbsp;15"
"&nbsp;","&nbsp;3.&nbsp;Live corals&nbsp;","&nbsp;&nbsp;Free","&nbsp;15"
"&nbsp;","&nbsp;4.&nbsp;Food supplementary&nbsp;","&nbsp;&nbsp;Free","&nbsp;15"
"&nbsp;","&nbsp;5.&nbsp;Fish sauce and fish&nbsp;","&nbsp;&nbsp;Free","&nbsp;15"
"&nbsp;Prawn industry&nbsp;","&nbsp;1.&nbsp;Prawns&nbsp;larvae&nbsp;and&nbsp;prawn&nbsp; feed","&nbsp;&nbsp;Free","&nbsp;15"
"&nbsp;","&nbsp;2.&nbsp;Pesticides&nbsp;and&nbsp;fungicides","&nbsp;&nbsp;Free","&nbsp;15"
"&nbsp;","&nbsp;3.&nbsp;Lime&nbsp;and&nbsp;formalin","&nbsp;&nbsp;Free","&nbsp;15"
