"architecture","taille du paquet","espace occupé une fois installé","fichiers"
"amd64","1282 ko","3120 ko","[liste des fichiers]"
"armel","1145 ko","2720 ko","[liste des fichiers]"
"armhf","1062 ko","1980 ko","[liste des fichiers]"
"i386","1211 ko","2920 ko","[liste des fichiers]"
"ia64","1862 ko","5760 ko","[liste des fichiers]"
"kfreebsd-amd64","1277 ko","2740 ko","[liste des fichiers]"
"kfreebsd-i386","1107 ko","2340 ko","[liste des fichiers]"
"mips","1334 ko","3680 ko","[liste des fichiers]"
"mipsel","1331 ko","3680 ko","[liste des fichiers]"
"powerpc","1225 ko","3080 ko","[liste des fichiers]"
"s390","1266 ko","3040 ko","[liste des fichiers]"
"s390x","1304 ko","3050 ko","[liste des fichiers]"
"sparc","1208 ko","2920 ko","[liste des fichiers]"
