"Wikipage page ID","Wikipage revision ID","label"
"9090953","678186289","Gammaproteobacteria"
"40115142","669356943","Halobacillus litoralis"
"43126147","651607922","Microvirgula aerodenitrificans"
"46460936","657318123","Mycoplasma faucium"
"39914368","637039371","Rhodoblastus acidophilus"
"12861219","675090686","Roseobacter"
"82887","681339089","Rickettsia"
"12860469","675083563","Ketogulonicigenium"
"40758667","636355140","Pelotomaculum thermopropionicum"
"22392414","678434050","Aggregatibacter"
"40882295","670710775","Dialister pneumosintes"
"43181821","651468952","Haemophilus felis"
"43182632","677456309","Ilyobacter delafieldii"
"42943446","632289532","Kineococcus radiotolerans"
"44359001","636436683","Macrococcus hajekii"
"43017892","678418153","Samsonia"
"43062551","655964098","Sporosarcina ureae"
"","","Haemophilus influenzae"
"314788","670434925","Clostridium"
"31898730","636063457","Acidothermus"
