"Country","Language","Service hours*)","Phone number"
"United Kingdom","English","Mon-Sun 24-h service","0870 240 8321"
"United States and Canada","English","Mon-Sun 24-h service","888 432 8233"
"Asia/Pacific (Malaysia)","English","Mon-Sun 24-h service","+60 3 7712 4605"
"Australia","English","Mon-Sun 24-h service","1300 195 516"
"Denmark","Danish","Mon-Fri 9-17","70 20 41 51"
"Finland","Finnish and English","Mon-Fri 8-18","09 8862 5050"
"France","French","Mon-Fri 9-18","0820 320 364"
"Germany","German","Mon-Fri 9-19","089 787 467 300"
"Hong Kong","Cantonese English","Mon-Sun 24-h service","3071 4907"
"Japan","Japanese","Mon-Fri 9.30-17.30","045-440-6620"
"Norway","Norwegian","Mon-Fri 9-17","22 419 890"
"Sweden","Swedish","Mon-Fri 8-17","08 507 440 11"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"All other countries","English","Mon-Fri 8-18 EET","+358 9 8862 5050"
