"word","Country","Currency (code)"
"authority","Cameroon","Communaute Financiere Africaine franc (XAF); note - responsible authority is the Bank of the Central African States"
"authority","Central African Republic","Communaute Financiere Africaine franc (XAF); note - responsible authority is the Bank of the Central African States"
"authority","Chad","Communaute Financiere Africaine franc (XAF); note - responsible authority is the Bank of the Central African States"
"authority","Congo Republic of the","Communaute Financiere Africaine franc (XAF); note - responsible authority is the Bank of the Central African States"
"authority","Cote d'Ivoire","Communaute Financiere Africaine franc (XOF); note - responsible authority is the Central Bank of the West African States"
"authority","Equatorial Guinea","Communaute Financiere Africaine franc (XAF); note - responsible authority is the Bank of the Central African States"
"authority","Gabon","Communaute Financiere Africaine franc (XAF); note - responsible authority is the Bank of the Central African States"
"authority","Guinea-Bissau","Communaute Financiere Africaine franc (XOF); note - responsible authority is the Central Bank of the West African States"
"authority","Mali","Communaute Financiere Africaine franc (XOF); note - responsible authority is the Central Bank of the West African States"
"authority","Niger","Communaute Financiere Africaine franc (XOF); note - responsible authority is the Central Bank of the West African States"
"authority","Senegal","Communaute Financiere Africaine franc (XOF); note - responsible authority is the Central Bank of the West African States"
"authority","Togo","Communaute Financiere Africaine franc (XOF); note - responsible authority is the Central Bank of the West African States"
"AWG","Aruba","Aruban guilder/florin (AWG)"
"Azerbaijani","Azerbaijan","Azerbaijani manat (AZN)"
