"label","Wikipage page ID"
"2015 Seguros Bolívar Open Barranquilla","47748931"
"Seguros Bolívar Open Cali 2015",""
"2015 Seguros Bolívar Open Medellín",""
"2015 Singapore Cup","46451462"
"Swedish Open 2015",""
"Tallahassee Tennis Challenger 2015","46441200"
"2015 Valais Youth Cup","47362721"
"2015 Western & Southern Open",""
"The Wilde Lexus Women’s USTA Pro Circuit Event 2015","46200712"
"2015 World University Football Cup","47345498"
"2015 Zhuhai ITF Women's Pro Circuit",""
"Coppa Italia 2015/16","47378155"
"2015–16 Coppa Titano","47724393"
"Hrvatski nogometni kup 2015-2016",""
"2015–16 Liechtenstein Cup",""
"2015–16 Macedonian Football Cup","47302704"
"2015–16 Magyar Kupa",""
"Scottish League Cup 2015/16",""
"2015–16 Serbian Cup",""
"Schweizer Cup 2015/16",""
