"NULL","opphavsland","tidsrom","kanal","sentrale rolleinnhavere"
"hemsøboerne","sverige","1966","nrk","allan edwall sif ruud"
"forsytesagaen (the forsyte saga)","storbr.","1967–68","nrk","eric porter nyree dawn porter kenneth more"
"skipper worse","norge","1968","nrk","lasse kolstad ragnhild michelsen"
"monkees","usa","1967–69","nrk","mickey dolenz davy jones michael nesmith peter tork"
"krutrøyk (gunsmoke)","usa","1969–71","nrk","james arness amanda blake ken curtis"
"henrik viii og hans hustruer (henry viii)","storbr.","1971","nrk","keith mitchell"
"familien ashton (a family at war)","storbr.","1971–72","nrk","colin douglas shelagh fraser"
"alias smith and jones","usa","1971–73","nrk","peter duel ben murphy"
"elisabeth r","storbr.","1972","nrk","glenda jackson ronald hines"
"sam","storbr.","1973–75","nrk","barbara ewing ray smith michael goodliffe"
"utvandrerne","svensk","1974","nrk","liv ullman max von sydow"
"onedin linjen (the onedin line)","storbr.","1974–76","nrk","peter gilmore howard lang jessica benton"
"herskap og tjenere (upstairs downstairs)","storbr.","1975–76","nrk","jean marsh gordon jackson angela baddeley"
"benoni og rosa","norge","1976","nrk","knut husebø unni evjen ingolf rogde"
"jeg claudius (i claudius)","storbr.","1977","nrk","derek jacobi sian phillips"
"røtter (roots)","usa","1978","nrk","levar burton ed asner chuck connors"
"holocaust","usa","1979","nrk","michael moriarty joseph bottoms meryl streep"
"centennial","usa","1979","nrk","robert conrad richard chamberlain"
"grenseland","norge","1980","nrk","sverre anker ousdal ellen horn"
"gjensyn med brideshead (brideshead revisited)","storbr.","1982","nrk","jeremy irons anthony andrews"
"i ville vesten (how the west was won)","usa","1982–83","nrk","james arness bruce boxleitner"
"jenny","norge","1983","nrk","liv ullmann knut husebø"
"dynastiet (dynasty)","usa","1983–88","nrk","john forsythe joan collins linda evans"
"kronjuvelen (the jewel in the crown)","storb.","1984","nrk","peggy ashcroft charles dance geraldine james"
"tornefuglene (the thorn birds)","usa","1984","nrk","richard chamberlain barbara stanwyck rachel ward"
"shogun","usa","1984","nrk","richard chamberlain toshiro mifune"
"maktkamp på falcon crest (falcon crest)","usa","1984–88","nrk","jane wyman robert foxworth susan sullivan"
"matador","danmark","1987–88","nrk","jørgen buckhøj ghita nørby"
"østkantfolk (eastenders)","storbitannia.","1987–","nrk","leonard fenton anna wing"
"lov og rett i la (l.a. law)","usa","1987–92 1992–97","nrk tv2","harry hamlin jill eikenberry richard dysart"
"nattseilere","norsk","1988","nrk","helge jordal vera holte"
"krigens vinder","usa","1989","nrk","robert mitchum ali macgraw jan-michael vincent"
"krig og erindring (war and rememberance)","usa","1990–91","nrk","robert mitchum jane seymor"
"twin peaks","usa","1990–91","nrk","kyle maclachlan michael ontkean"
"den gode viljen","sverige","1991","nrk","pernilla august samuel fröler"
"vestavind","norge","1994–95","nrk","wenche foss anne marit jacobsen hildegunn riise"
"x-files","usa","1994–2002","tv2","gillian anderson david duchovny"
"med hjarte på rette staden (heartbeat)","storbritannia","1993– 2006 (prod.)","nrk","mark jordon william simons derek fowlds tricia penrose david lonsdale peter benson"
"i de beste familier","norge","1995","nrk","roy bjørnstad ingar h. gimle frank krogh elisabeth sand ingerid vardund"
"familiesagaen de syv søstre","norge","1996–2000","tv2","mona hofland karin lunden arne lindtner næss espen skjønberg"
"offshore","norge","1996–99","nrk","finn schau rut tellefsen kalle øby helga mjeldheim mia gundersen"
"riget","danmark","1996 1998","nrk","ernst hugo järegård ghita nørby jens okking"
"bryggeren","danmark","1997","nrk","mikkel følsgaard cecilia zwick nash jens j. spottag"
"skärgårdsdoktorn","sverige","1997–2000 (prod.)","nrk","samuel fröler ebba hultkvist sten ljunggren helena brodin göran engman"
"hotel cæsar","norge","1998–","tv2","anette hoff nicolay lange-nilsen toralv maurstad"
"judging amy","usa","1998–2003","tv2","amy brenneman tyne daly karle warren"
"presidenten (the west wing)","usa","2000–","nrk","martin sheen dulé hill allison janney stockard channing john spencer richard schiff bradley whitford"
"sopranos","usa","2001–","nrk","james gandolfini lorraine bracco edie falco dre de matteo michael imperioli dominic chianese steven van zandt"
"seks fot under (american beauty)","usa","2003–","nrk","peter krause michael c. hall frances conroy lauren ambrose freddy rodriguez mathew st. patrick rachel griffiths."
"krøniken","danmark","2004–","nrk","anne louise hassing maibritt saerens anders w. berthelsen waage sandø stina ekblad"
"lost","usa","2005–","tvnorge","matthew fox evangeline lilly naveen andrews"
"frustrerte fruer","usa","2005–","tv2","teri hatcher eva longoria felicity huffman marcia cross nicollette sheridan"
"rome","usa","2006–","tvnorge","cirian hinds max pirkis tobias menzies james purefoy polly walker ray stevenson kevin mckidd"
"NULL","NULL","NULL","NULL","NULL"
"komiserier","NULL","NULL","NULL","NULL"
"NULL","NULL","NULL","NULL","NULL"
"lucy show","usa","1963–64","nrk","lucille ball"
"kontorsjef tangen","norge","1966","nrk","leif juster"
"her kommer lucy (here's lucy)","usa","1970","nrk","lucille ball desi arnaz jr."
"m.a.s.h","usa","1972–1983 (prod.) sendt i norge fra 1981","nrk","alan alda gary burghoff mc lean stevenson"
"fleksnes","norsk","1972–88 1997 og 2002","nrk","rolv wesenlund aud schønemann"
"hotell i særklasse (fawlty towers)","storbr.","1976–79","nrk","john cleese connie booth andrew sachs"
"albert og herbert","sverige","1977–84","nrk","sten-åke cederhök thomas von brömssen"
"the muppet show","storbr.","1977–88","nrk","NULL"
"brødrene dal","norge","1979 -82 -94 og 2005","nrk","trond kirkvaag knut lystad lars mjøen"
"født på solsiden (to the manor born)","storbr.","1980–84","nrk","penelope keith"
"javel statsråd (yes minister)","storbr.","1981–84","nrk","nigel hawthorne paul eddington"
"cosby med familie (the cosby show)","usa","1985–88","nrk","bill cosby"
"javel statsminister (yes prime minister)","storbr.","1986–89","nrk","nigel hawthorne paul eddington"
"'allo 'allo!","storbr.","1984–92 (prod.) sendt i norge 1989 1992 1995–2000 og 2006","nrk","gordon kaye carmen silvera vicki michelle"
"livet med larkins (the darling buds of may)","storbr.","1991–93","nrk","david jason pam ferris"
"cheers","usa","1992–99","tv2","ted danson rhea perlman shelly long"
"fredrikssons fabrikk","norge","1992 1993 1997","NULL","anne-marie ottersen aud scønemann"
"mot i brøstet","norge","1992–97","tv2","nils vogt arve opsahl sven nordin"
