"label","Geburtsdatum"
"Calvin Bridges (musician)","1952-01-24"
"Cam Kirk","1989-02-27"
"Camila Marañón",""
"Camilla Lennarth",""
"Carla Cassola","1947-12-15"
"Carla García","1990"
"Carlos Ramirez-Rosa","1989-02-18"
"Carol Chaikin",""
"Carol Jarvis","1977-11-17"
"Carolin Kebekus","1980-05-09"
"Caroline Ansell","1971-01-12"
"Caroline Linden",""
"Caroline Schlyter","1961-10-09"
"Carolyn Coleman","1952"
"Carolyn Drake","1971"
"Carrie Genzel",""
"Carter Ferguson",""
"Casey Anderson (naturalist)",""
"Casey Calvert",""
"Casey J",""
