"photo link","photo id","geographic name","features"
"NULL","sts047-88-20","afghanistan","hindu kushglaciers"
"NULL","sts091-703-84","afghanistan","valley makran ra.kabul"
"NULL","as17-148-22727","africa","african continent blue marble"
"NULL","iss028-e-17845","africa","cloudsspace shuttle atlantisspace station hardwarelimb"
"NULL","nm23-707-426","albania","lake ohrid"
"NULL","sts059-238-88","algeria","pan-grand erg occidental"
"NULL","sts052-151-227","algeria","tanezrouft area"
"NULL","sts036-152-252","algeria","tassili najjerirarren d"
"NULL","sts070-705-94","algeria","tifernine dunes mts."
"NULL","sts052-151-159","algeria","tinrhert platdunesmts."
"NULL","nm23-719-436","argentina","aconquija mountains"
"NULL","nm23-718-501","argentina","andes mountainsglaciers"
"NULL","sts059-l15-48","argentina","andes mtsvalleypatos r"
"NULL","sts081-724-68","argentina","bahia blanca lakes"
"NULL","sts091-729-29","argentina","bay blanca point alta"
"NULL","sts056-103-99","argentina","buenos aires"
"NULL","sts048-151-137","argentina","central andes teuco r."
"NULL","sts036-80-62","argentina","cerros colorados reserv."
"NULL","sts035-73-39","argentina","de la plata river"
"NULL","sts068-234-54","argentina","l viedma glaciers snow"
"NULL","sts081-724-89","argentina","l. musters &colhue huapi"
"NULL","sts081-728-85","argentina","lake nahuel huapi"
"NULL","nm23-721-514","argentina","lake pellegrini agr."
"NULL","nm23-722-b","argentina","lake pueyrredon"
"NULL","nm23-721-519","argentina","lake venado"
"NULL","nm23-722-g","argentina","lake viedma"
"NULL","sts056-98-26","argentina","lake viedmal. argentino"
"NULL","sts081-728-83","argentina","limay river lake"
"NULL","sts081-724-66","argentina","mouth of rio negro"
"NULL","sts089-709-55","argentina","parana river"
"NULL","sts081-711-73","argentina","patagonia musters lake"
"NULL","sts084-706-80","argentina","payun volcano"
"NULL","sts081-728-89","argentina","planicie banderita lake"
"NULL","sts089-709-56","argentina","plata river"
"NULL","sts081-728-88","argentina","ramos mexia reservoir"
"NULL","nm23-721-515","argentina","rio negro agriculture"
"NULL","sts089-709-53","argentina","rio negro point rasa"
"NULL","sts056-102-4","argentina","rio parana guaza"
"NULL","nm23-719-444","argentina","rio parana agriculture"
"NULL","nm23-721-526","argentina","rio parana burn scars"
"NULL","sts056-75-104","argentina","rio paranarosarioagr."
"NULL","sts070-715-100","argentina","salinas grandes agric."
"NULL","sts056-109-80","argentina","salt flats agric smoke"
"NULL","sts091-708-4","argentina","san ramon rio blanco"
"NULL","nm23-719-439","argentina","santiago del estero"
"NULL","iss008-e-12390","argentina","viedma glacier moraines lakes"
"NULL","iss007-e-10974","asia","noctilucent clouds moon"
"NULL","iss017-e-11632","asia","pan-noctilucent clouds"
"NULL","iss010-e-18583","astronomical objects","full moon moonset earth limb"
"NULL","iss008-e-8951","astronomical objects","pan-crescent moon earth limb"
"NULL","sts048-73-q","atlantic ocean","alpha 24 iceberg"
"NULL","iss008-e-19646","atlantic ocean","hurricane catarina eye banding"
"NULL","iss024-e-14580","atlantic ocean","hurricane igor eye structure spiral bands"
"NULL","iss007-e-14745","atlantic ocean","hurricane isabel eye detail"
"NULL","iss008-e-18202","atlantic ocean","pan-africa dust storm clouds"
"NULL","iss007-e-14419","atlantic ocean","pan-hurricane fabian"
"NULL","iss009-e-20440","atlantic ocean","pan-hurricane frances"
"NULL","iss007-e-14750","atlantic ocean","pan-hurricane isabel eye"
"NULL","sts51g-46-5","atlantic ocean","squall lines-clouds"
"NULL","sts035-81-103","atlantic ocean i(s).","ascension icen of frame"
"NULL","iss003-e-6152","aurora","aurora borealis"
"NULL","sts039-342-28","aurora","australis-red/green prom"
"NULL","iss003-e-6816","aurora","red aurora atmospheric limb"
"NULL","sts008-50-1844","australia","arnhem landdikes"
"NULL","iss029-e-6244","australia","pan-iss hardware airglow smoke plumes fires"
"NULL","sts069-716-28","australia","sandy islet reefs"
"NULL","iss006-e-19300","australia-nsw","bushfires smoke"
"NULL","sts61a-50-81","australia-nsw","lake burragorang"
"NULL","sts61a-50-77","australia-nsw","lake george"
"NULL","nasa7-709-83","australia-nsw","melbournepo. phillip b."
"NULL","sts059-235-3","australia-nsw","newcastle coastal dunes"
"NULL","sts068-168-78","australia-nsw","newcastlegt.dividing ra"
"NULL","sts068-258-80","australia-nsw","sydney"
"NULL","sts61a-38-11","australia-nsw","sydney coastline sunglint"
"NULL","sts062-101-34","australia-nsw","tandau & minindee lakes"
"NULL","sts61b-44-11","australia-nt","alice springs"
"NULL","sts035-76-70","australia-nt","blue mud bay"
"NULL","sts051-78-13","australia-nt","brunette downs lakes"
"NULL","sts073-711-96","australia-nt","darwinbynoe harborbays"
"NULL","sts033-79-44","australia-nt","groote eylandt"
"NULL","sts61b-44-6","australia-nt","james ranges finke riv."
"NULL","sts41c-52-2562","australia-nt","joseph bonaparte gulf"
"NULL","sts066-152-170","australia-nt","lake amadeus"
"NULL","sts035-502-2","australia-nt","macdonnell ra l amadeus"
"NULL","sts41d-41-33","australia-nt","macdonnell ranges"
"NULL","sts046-87-26","australia-nt","melville i. smoke"
"NULL","sts008-43-2172","australia-nt","reynolds rangeslander r"
"NULL","sts069-728-79","australia-nt","roper river sed. plume"
"NULL","sts062-109-67","australia-nt","simpson des. fire scars"
"NULL","sts084-712-36","australia-nt","sir edward pellew group"
"NULL","sts051-101-42","australia-nt","tarrabool l.creeks"
"NULL","sts033-81-1","australia-nt","the alberga r."
"NULL","sts059-l06-10","australia-q","barkly tableland river"
"NULL","sts41d-41-62","australia-q","brisbane"
"NULL","sts064-92-45","australia-q","brisbane moreton b mts"
"NULL","sts068-258-76","australia-q","carron r.karumbased."
"NULL","sts051-78-29","australia-q","city of mount isa lakes"
"NULL","sts051-101-65","australia-q","coastal baysislands"
"NULL","sts033-73-54","australia-q","cooper creek"
"NULL","sts055-151-146","australia-q","cstcurtis ifitzroy r."
"NULL","sts051-78-64","australia-q","curtis island sediment"
"NULL","sts009-35-1622","australia-q","cyanophyte alga"
"NULL","sts059-l06-13","australia-q","darling r drainage agr"
"NULL","sts062-113-148","australia-q","darling r.va. warrego r"
"NULL","sts059-203-93","australia-q","diamantina river"
"NULL","sts051-101-47","australia-q","georgina r.barkly plat."
"NULL","sts051-101-54","australia-q","georgina river"
"NULL","sts008-43-2190","australia-q","gilbert riverwest coast"
"NULL","sts048-152-149","australia-q","great artesian basin"
"NULL","sts048-151-250","australia-q","great barrier reef"
"NULL","sts046-77-35","australia-q","grt.barrier reef"
"NULL","sts049-75-43","australia-q","gt. barrier reef"
"NULL","sts051-101-52","australia-q","hamilton river"
"NULL","sts066-119-94","australia-q","hamilton river burke r."
"NULL","sts051-82-64","australia-q","hamiltondiamantina rivs"
"NULL","sts043-151-267","australia-q","mackayshoalwater bay"
"NULL","sts048-616-32","australia-q","mornington island coastline"
"NULL","sts048-151-252","australia-q","northumberland islands"
"NULL","sts048-71-35","australia-q","shoalwater baysmokecst"
"NULL","sts066-119-90","australia-q","simpson des. eyre creek"
"NULL","sts044-73-10","australia-q","simpson desert"
"NULL","sts61a-45-19","australia-q","staaten river"
"NULL","sts064-92-43","australia-q","surfers paradise mtsis"
"NULL","sts073-759-93","australia-q","weipa albatross bay"
"NULL","nasa7-709-78","australia-sa","adelaidegulf st.vincent"
"NULL","sts077-741-96","australia-sa","adelaideroadsdocksagr"
"NULL","sts062-94-37","australia-sa","coast eyre peninsula"
"NULL","sts61a-44-53","australia-sa","fleurieu peninsula"
"NULL","sts062-154-39","australia-sa","l. alexandrina murray r"
"NULL","sts062-101-33","australia-sa","l. torrens mt. range"
"NULL","sts61a-44-55","australia-sa","lake alexandrina"
"NULL","sts008-48-2494","australia-sa","lake amadeus ayers rock"
"NULL","sts035-502-4","australia-sa","lake eyre"
"NULL","sts043-151-294","australia-sa","lake eyresimpson desert"
"NULL","sts041-152-92","australia-sa","n.lake eyrewarburton cr"
"NULL","sts041-152-90","australia-sa","neales r n.lake eyre."
