"label","Wikipage page ID"
"Cook Islands dollar","3490434"
"Guinean franc","1812208"
"Hamburg mark",""
"West African CFA franc","3791898"
"Moroccan dirham",""
"Netherlands Antillean guilder",""
"ليرا عثمانية","31344318"
"Rhodesian dollar",""
"Rhodesian pound",""
"Sudanese pound","2926739"
"Bermudian pound",""
"Equatorial Guinean ekwele",""
"Bhutanese ngultrum","490884"
"Philippine peso","227672"
"Afghan afghani","188967"
"Austrian schilling",""
"Estonian kroon",""
"Guatemalan quetzal","202351"
"Hungarian forint","229795"
"Namibian dollar","342430"
