"Wikipage revision ID","label","Wikipage page ID","Link from a Wikipage to an external page"
"676105408","111 Murray Street","46943761","http://111murray.com/"
"656097148","11th Ward, Chicago","46316478","http://www.cityofchicago.org/city/en/about/wards/11.html"
"677223303","200 Aldersgate","46767722","http://www.ashbycapital.com/"
"","520 بارك أفينيو","46239375",""
"","ACA Women's Cricket Academy Ground","47719844",""
"666390630","AEON Bukit Tinggi LRT Station","46728356","http://www.lrt3.com.my"
"681436111","AESP-14","46740068","http://www.aer.ita.br/~aesp14/"
"","AUC Libraries and Learning Technologies","",""
"682210109","Abbey Greyhound Stadium","47864395","http://www.stadiauk.com"
"672810318","Abbey Theatre (England)","46536247","http://www.abbeytheatre.co.uk"
"671068957","Abucay Church","46416512",""
"678720606","Acanceh (municipio)","46630543","http://www.yucatan.gob.mx/estado/municipios/31009a.htm#"
"680749143","Afadzato South District","46975884","http://afadzatosouthdistrictgh.com/6/download-documents-from-afadjato-south-district-assembly"
"671882465","Agios Mamas, Chalkidiki","46400897","http://www.interalex.net/search?q=agios+mamas"
"656798458","Agios Pandeleimon (Athen)","46260647","http://www.cityofathens.gr"
"680895789","Airport West railway station","46365671","http://www.forrestfieldairportlink.wa.gov.au/Portals/11/docs/Forrestfield_Airport_Link_FactSheet_Stations.pdf"
"681718045","Akamine Station","47859606",""
"","Al-Furqan Mosque","",""
"","Albany Public Library","",""
"670394432","All Saints' Church, North Street, York","46615211",""
