"Name","Phone","Category"
"Classic Cleaners","501-623-8680","Laundries - Cleaners"
"Curves","501-915-0633","Spas - Beauty"
"Dogwood Tree","501-922-2686","Misc Services"
"Eyecare Specialties","501-922-5778","Eyecare"
"Fit For Life Therapy-wellness","501-922-1377","Misc Services"
"Flower Dome","501-623-8811","Spas - Beauty"
"Music Staff","501-922-5645","Misc Services"
"Sew Perfect","501-984-6412","Apparel"
"Top Nails","501-984-5778","Spas - Beauty"
"Walmart One Hour Photo","501-318-9733","Photography"
"West End Hair Co","501-922-2855","Spas - Beauty"
