"species","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009"
"greater white-fronted goose","12/15","1/1","3/13","NULL","NULL","NULL","NULL","NULL","NULL","10/14","NULL","NULL"
"snow goose","NULL","3/18","10/5","3/15","9/30","NULL","2/15","NULL","1/8","1/2","3/20","NULL"
"brant","NULL","NULL","NULL","10/21","NULL","NULL","NULL","11/15","NULL","10/31","NULL","NULL"
"barnacle goose","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","10/11","NULL","NULL"
"canada goose","1/1","1/1","1/2","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1"
"mute swan","yes","1/1","1/2","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1"
"wood duck","yes","1/18","1/16","2/27","1/1","3/10","3/7","1/1","3/12","1/28","4/12","1/1"
"gadwall","1/26","1/1","1/2","1/4","1/4","3/9","3/7","3/17","3/23","1/2","3/5","2/15"
"eurasian wigeon","10/16","4/1","NULL","NULL","NULL","10/11","NULL","NULL","NULL","NULL","NULL","NULL"
"american wigeon","1/26","1/1","1/2","1/1","1/1","1/1","3/1","3/30","2/22","1/2","3/4","3/7"
"american black duck","yes","1/1","1/2","1/1","1/1","1/1","1/1","1/1","1/1","1/2","1/5","1/3"
"mallard","yes","1/1","1/2","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1"
"blue-winged teal","4/20","4/2","4/11","4/5","8/20","4/28","4/7","9/5","4/17","5/2","8/31","8/24"
"northern shoveler","4/26","4/5","9/17","9/29","1/1","1/1","10/1","3/31","1/8","1/2","9/22","10/20"
"northern pintail","3/6","1/1","3/7","10/4","3/2","10/7","3/7","10/24","4/17","3/14","10/13","1/3"
"green-winged teal","2/17","1/1","1/2","1/1","1/1","1/14","1/1","1/1","2/28","3/14","3/4","3/16"
"canvasback","3/1","10/15","3/3","3/18","1/10","10/18","11/1","1/1","2/7","1/3","11/6","11/5"
"redhead","11/27","NULL","NULL","2/26","NULL","10/28","NULL","10/24","1/12","NULL","NULL","NULL"
"ring-necked duck","1/26","1/1","1/2","1/1","1/1","1/1","1/1","1/2","1/25","1/3","1/1","1/2"
"greater scaup","3/26","3/20","11/24","4/7","1/10","10/18","3/25","10/4","10/22","NULL","NULL","NULL"
"lesser scaup","10/25","10/30","3/23","NULL","3/10","10/13","1/3","10/24","1/12","1/20","NULL","4/19"
"common eider","NULL","NULL","NULL","NULL","NULL","10/22","NULL","NULL","NULL","NULL","NULL","NULL"
"surf scoter","NULL","NULL","11/1","NULL","NULL","NULL","10/26","NULL","NULL","NULL","NULL","NULL"
"white-winged scoter","NULL","10/23","NULL","NULL","NULL","NULL","5/26","NULL","NULL","11/1","10/18","8/20"
"black scoter","10/25","10/5","10/30","NULL","10/18","10/22","10/23","NULL","NULL","NULL","10/17","11/4"
"long-tailed duck","4/24","NULL","NULL","NULL","10/27","NULL","NULL","NULL","11/3","NULL","10/26","11/3"
"bufflehead","10/26","3/2","1/11","3/18","3/2","1/1","1/1","1/1","1/31","1/1","1/17","2/28"
"common goldeneye","3/6","1/7","1/16","3/10","1/12","3/19","1/1","1/7","2/17","3/30","3/5","3/24"
"barrow's goldeneye","NULL","NULL","NULL","NULL","NULL","NULL","3/24","NULL","NULL","NULL","NULL","NULL"
"hooded merganser","1/26","1/1","1/2","1/20","1/1","1/1","1/1","1/1","1/1","1/1","1/1","1/1"
"common merganser","1/1","1/1","1/2","1/1","1/1","1/1","1/1","1/1","1/1","1/1","2/23","1/1"
"red-breasted merganser","1/15","2/12","2/11","2/4","2/20","1/13","1/3","1/31","1/31","3/22","2/16","NULL"
"ruddy duck","1/15","1/1","1/2","3/24","1/1","1/13","4/12","4/14","3/14","1/1","3/16","3/28"
"northern bobwhite","10/7","NULL","NULL","8/22","9/24","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"ring-necked pheasant","2/27","1/2","1/2","4/16","2/19","2/27","3/29","3/26","3/25","5/12","4/23","3/21"
