"Questions List","Answers"
"I need the truth?","19"
"Do u have dreams at night ?","19"
"How much is considered too much ?","19"
"What do u think of men marrying US citizens just to go to USA?","19"
"What do your eyes reveal about you?","19"
"What&#39;s your........ impression of Toumi......?","19"
"What do you think is?","19"
"Do you think that dreams you wish to achieve are just ILLUSIONS or.....?","18"
"How do you justify killing innocent women and children in air strikes?","19"
"If you could live anywhere in Egypt?","19"
