"IUPACName","imagesize","Wikipage page ID","othernames","label","ImageFile","Wikipage revision ID"
"4","180","47292348","56","Cytosine glycol","Cytosine glycol.svg","673190531"
"","250","47174492","","Dihydrotetrabenazine","DTBZ ambiguous.svg","674614098"
"","","47176084","","Dimethyldiborane","11","677144859"
"3","200","47549773","3","Epipregnanolone","Epipregnanolone.svg","682020296"
"3","200","47294169","","MRK-016","MRK-016.svg","673574194"
"Methyl 2-hydroxypropanoate","200","47294205","","Methyl lactate","Methyl DL-lactate.png","674344582"
"[sulfinyl]acetic acid","200","47189900","","Modafinil acid","Modafinil acid.svg","678697100"
"","200","47224553","","Nourseothricin","Nourseothricin.svg","677308202"
"","200","47416800","","Perfluorotoluene","Perfluorotoluene.png","679432587"
"Pivaldehyde","200","47277557","Trimethylacetaldehyde","Pivaldehyde","Trimethylacetaldehyde.svg","672105890"
"","","47933030","","Propadienone","","682899255"
"","","47933033","","Propynal","","683225477"
"56","180","47292486","56","Thymine glycol","Thymine glycol.svg","673624483"
"112","","47522906","Trimethyldiborane","Trimethyldiborane","Trimethyldiborane.svg","680300314"
"56","180","47292455","56","Uracil glycol","Uracil glycol.svg","673624082"
