"label","Geburtsort","birth place"
"Jonathan McReynolds","http://dbpedia.org/resource/Chicago","http://dbpedia.org/resource/Chicago"
"Jordan Brandman","",""
"Jordan Feliz","http://dbpedia.org/resource/California",""
"Jordan McIntosh","http://dbpedia.org/resource/Ontario",""
"Jordan Mickey","http://dbpedia.org/resource/Dallas","http://dbpedia.org/resource/Dallas"
"Jordi Forniés","http://dbpedia.org/resource/Barcelona","http://dbpedia.org/resource/Barcelona"
"Jorge Anegon","http://dbpedia.org/resource/Asturias","http://dbpedia.org/resource/Asturias"
"Joris Teepe","http://dbpedia.org/resource/Netherlands",""
"Joseph Adebayo Adelakun","http://dbpedia.org/resource/Oyo_State","http://dbpedia.org/resource/Oyo_State"
"Joseph Fuisz","",""
"Joseph R. Ecker","",""
"Jostein Gulbrandsen","http://dbpedia.org/resource/Namsos",""
