"conditions","2002","2001","2000","1999","1998","1997","1996","1995","1994","&nbsp;"
"weather","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"precipitation","none","none","none","light","none","","","","&nbsp;","&nbsp;"
"clouds","cloudy","clear","clear","cloudy","clear","","","","&nbsp;","&nbsp;"
"temp dawn","32","42","45","47","52","","","","&nbsp;","&nbsp;"
"temp am","38","45","50","48","68","","","","&nbsp;","&nbsp;"
"temp noon","39","48","58","50","69","","","","&nbsp;","&nbsp;"
"temp pm","48","57","55","52","76","","","","&nbsp;","&nbsp;"
"temp dusk","47","47","49","49","59","","","","&nbsp;","&nbsp;"
"wind dawn","e 10","10 n","10 w","10 sw","still","","","","&nbsp;","&nbsp;"
"wind am","e 10","15 n","10 w","15 sw","10 ne","","","","&nbsp;","&nbsp;"
"wind noon","e 15","15 n","15 w","15 sw","15 ne","","","","&nbsp;","&nbsp;"
"wind pm","e 15","15 n","15 w","10 sw","15 w","","","","&nbsp;","&nbsp;"
"wind dusk","e 15","15 n","15 w","10 sw","10 ne","","","","&nbsp;","&nbsp;"
"number of observers","11","13","15","13","19","15","20","12","&nbsp;","&nbsp;"
"number of parties","5","9","8","6","11","","","","&nbsp;","&nbsp;"
"regular","&nbsp;","&nbsp;","","","","","","","&nbsp;","&nbsp;"
"hours on foot","20.7","43.5","54.4","28.4","54.25","","","","&nbsp;","&nbsp;"
"hours by car","19.4","23.8","22.2","18.7","14.7","","","","&nbsp;","&nbsp;"
"hours other","&nbsp;","&nbsp;","","","3","","","","&nbsp;","&nbsp;"
"miles on foot","18.5","28.7","50","22.2","39.75","","","","&nbsp;","&nbsp;"
"miles by car","187","287","26.7","294.8","269.25","","","","&nbsp;","&nbsp;"
"miles other","&nbsp;","&nbsp;","","","","","","","&nbsp;","&nbsp;"
"night","&nbsp;","&nbsp;","","","","","","","&nbsp;","&nbsp;"
"hours","1.8","2.6","2.5","","1.25","","","","&nbsp;","&nbsp;"
"miles","10","40","10.5","","","","","","&nbsp;","&nbsp;"
"feeder watch","6.3","12","17","2","4","","","","&nbsp;","&nbsp;"
"stationary","6","10","7.8","5","6","","","","&nbsp;","&nbsp;"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"total hours","54.2","91.9","103.9","54.1","83.2","59.7","83.7","52.4","&nbsp;","&nbsp;"
"total birds","4584","5439","5195","6143","4598","5472","8482","5041","&nbsp;","&nbsp;"
"total species","136","121","133","121","113","132","153","128","&nbsp;","&nbsp;"
"birds/hour","85","59","51","115","55","92","105","101","&nbsp;","&nbsp;"
"number of observers","11","13","15","13","19","15","20","12","&nbsp;","&nbsp;"
"&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;"
"name","2002","2001","2000","1999","1998","1997","1996","1995","1994","total"
"common loon","&nbsp;","1","","","","","","","&nbsp;","1"
"pied-billed grebe","&nbsp;","&nbsp;","","","2","1","4","","&nbsp;","7"
"horned grebe","&nbsp;","&nbsp;","","","","2","","","&nbsp;","2"
"d-crested cormorant","16","85","25","44","106","216","223","189","25","929"
"american bittern","1","&nbsp;","","","","","","","&nbsp;","1"
"great blue heron","22","33","16","29","52","37","37","80","16","322"
"great egret","1","&nbsp;","","","2","","1","","&nbsp;","4"
"snowy egret","&nbsp;","&nbsp;","1","","","","","","1","2"
"green heron","4","&nbsp;","8","8","2","3","3","1","8","37"
"bik.-cr. night heron","&nbsp;","&nbsp;","","","","","8","","&nbsp;","8"
"mute swan","82","44","44","87","31","78","30","5","44","445"
"canada goose","134","168","94","128","152","184","155","125","94","1234"
"wood duck","7","14","14","7","25","13","35","20","14","149"
"green-winged teal","&nbsp;","&nbsp;","","","","","12","","&nbsp;","12"
"am black duck","&nbsp;","&nbsp;","4","","","1","","","4","9"
"mallard","161","249","283","293","189","251","436","200","283","2345"
"northern pintail","2","&nbsp;","","","","1","","","&nbsp;","3"
"blue-winged teal","3","2","10","20","11","119","17","2","10","194"
"northern shoveler","2","&nbsp;","","","6","11","10","12","&nbsp;","41"
"gadwall","&nbsp;","3","","","","","1","","&nbsp;","4"
"american widgeon","1","&nbsp;","","","","6","","","&nbsp;","7"
"canvasback","&nbsp;","&nbsp;","","","","2","","","&nbsp;","2"
"redhead","&nbsp;","&nbsp;","","","","1","","","&nbsp;","1"
"ring-necked duck","&nbsp;","&nbsp;","","","","","1","","&nbsp;","1"
"greater scaup","&nbsp;","&nbsp;","","","","1","2","","&nbsp;","3"
"lesser scaup","&nbsp;","&nbsp;","","1","1","8","12","7","&nbsp;","29"
"scaup sp.","&nbsp;","1","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","&nbsp;","1"
"com goldeneye","&nbsp;","&nbsp;","","","","","1","1","&nbsp;","2"
"bufflehead","&nbsp;","&nbsp;","","4","","10","2","10","&nbsp;","26"
"hooded merganser:","&nbsp;","1","","","","","","","&nbsp;","1"
"com merganser","&nbsp;","&nbsp;","","5","","22","18","3","&nbsp;","48"
"red-br merganser","7","&nbsp;","","","5","7","","","&nbsp;","19"
"ruddy duck","&nbsp;","&nbsp;","1","2","12","12","5","3","1","36"
"turkey vulture","4","35","22","14","18","16","21","33","22","185"
"osprey","1","&nbsp;","","","","","2","","&nbsp;","3"
"bald eagle","1","&nbsp;","2","","","1","","","2","6"
"sharp-shin hawk","&nbsp;","&nbsp;","3","1","1","4","2","","3","14"
"cooper's hawk","1","&nbsp;","","","2","1","","1","&nbsp;","5"
"northern goshawk","1","&nbsp;","","","","","","","&nbsp;","1"
"red-shouldered hawk","&nbsp;","&nbsp;","","","","","1","","&nbsp;","1"
"broad-wing hawk","&nbsp;","1","3","","3","3","3","","3","16"
"red-tailed hawk","6","14","8","5","13","16","13","11","8","94"
"buteo sp","&nbsp;","&nbsp;","","","1","","2","","&nbsp;","3"
"american kestrel","2","1","3","1","5","4","6","4","3","29"
"merlin","&nbsp;","&nbsp;","","1","","","1","","&nbsp;","2"
"peregrine falcon","1","1","2","","","","","","2","6"
"ring neck pheasant","1","2","","","1","4","2","1","&nbsp;","11"
"ruffed grouse","&nbsp;","&nbsp;","","","","1","","","&nbsp;","1"
"wild turkey","4","8","2","8","","4","12","","2","40"
"northern bobwhite","&nbsp;","&nbsp;","","","1","","","","&nbsp;","1"
"virginia rail","1","&nbsp;","","","3","","","","&nbsp;","4"
"sora","12","&nbsp;","3","","7","11","4","2","3","42"
"comm. moorhen","&nbsp;","&nbsp;","","4","","2","","","&nbsp;","6"
"american coot","6","&nbsp;","4","","6","22","20","","4","62"
"sandhill crane","5","32","61","3","1","5","6","3","61","177"
"semipalmated plover","&nbsp;","5","","","","","","","&nbsp;","5"
"killdeer","11","37","22","52","40","42","55","29","22","310"
"greater yellowlegs","&nbsp;","&nbsp;","","160","1","3","13","","&nbsp;","177"
"lesser yellowlegs","18","4","4","60","","18","13","2","4","123"
"solitary sandpiper:","1","&nbsp;","11","5","2","10","8","3","11","51"
"willet","1","&nbsp;","","1","","","","","&nbsp;","2"
"spotted sandpiper","4","9","10","11","4","7","38","9","10","102"
"upland sandpiper","2","&nbsp;","","","","","1","1","&nbsp;","4"
"ruddy turnstone","&nbsp;","&nbsp;","","","","","","2","&nbsp;","2"
"sanderling","&nbsp;","2","","","","","","","&nbsp;","2"
"semipalmated sandpiper","1","&nbsp;","","","","","","","&nbsp;","1"
"least sandpiper","1","&nbsp;","","45","","5","","","&nbsp;","51"
