"Standard set up with one electronic proof. (Standard invitations and stationery products)","$8 per design / product (Free with orders over $200)","Will be added to your total after you check out."
"Database set-up(Mail merge placecards name cards or anything where each piece must be personalized)","$10 (Free for orders over $200)","Not available online - please call to order"
"Notecards stickers or Elements set up no proof","No Charge","&nbsp;"
"Printed &amp; mailed personalized color proof or additional proofs (with order)","$2 each plus item cost. Available for confirmed orders only.","&nbsp;"
"Personalized sample (without order)","$10 each","Not available online - please call to order"
"Photo scanning (Free for orders over $200)","$5","Not available online - please call to order"
"Digital photo processing (from file or disc)","No Charge","Not available online - please call to order"
"Printing photos","$0.50 per piece","Not available online - please call to order"
"Elements artwork on envelopes","$0.25 per envelope","Not available online - please call to order"
"Delivery address on envelopes","$0.85 per envelope plus database set up","Not available online - please call to order"
"Delivery and return address on envelopes","$1.00 per envelope plus database set up","Not available online - please call to order"
"Return address on envelopes","$0.25 per envelope","&nbsp;"
"Address on response card envelopes","$0.50 per envelope","Not available online - please call to order"
"Addressing assembly and /or mailing services","Ask for quote","Not available online - please call to order"
"Deposit / cancellation fee (required if order is cancelled after proofs have been emailed)","25% of Order Total","&nbsp;"
