"Name","Type","Assets(Millions)","LocalBranches"
"Bank of America National Association","All Other > $1 Billion","1047537","2"
"Commerce Bank National Association","Mortgage Lending","23988","1"
"Haven Savings Bank","Mortgage Lending","686","1"
"Hudson City Savings Bank","Mortgage Lending","26008","1"
"JPMorgan Chase Bank National Association","International","973113","1"
"North Fork Bank","Mortgage Lending","59766","1"
"PNC Bank National Association","Commercial Lending","82691","2"
"The Town Bank","Commercial Lending","147","2"
"Valley National Bank","Commercial Lending","12232","1"
"Wachovia Bank National Association","All Other > $1 Billion","459529","2"
"World Savings Bank FSB","Mortgage Lending","117048","1"
"* Disclaimer: List is not guaranteed to be complete or accurate.","&nbsp;","&nbsp;","&nbsp;"
