"Channel","Time","Days","Language","Country"
"CGN TV (Korean)","03:00 - 03:30 pm","Mon Wed &amp; Fri","English (Korean Subtitles)","Korea"
"CBS TV","05:00 pm &nbsp;&amp; 02:30 am","Friday &amp; Monday","English (Korean Subtitles)","Korea"
"C3 TV","10:30 am &nbsp;&amp; 10:30 pm","Mon Wed &amp; Fri","English (Korean Subtitles)","Korea"
"CTN Network","05:00 - 05:30 am","Wed - Sun","Khmer","Cambodia"
"Sril Lanka - TNL","05:30 - 06:00 am","Monday - Friday","Sinhala","Sri Lanka"
"Nepal - 1","06:00 - 06:30 am","Monday - Friday","Nepali","Nepal"
"Channel - 11","03:30 - 04:00 pm","Tuesday","Thai","Thailand"
"CH 11 / Cmai - Chiangmai","04:00 - 04:30 pm","Wed Fri & Sat","Thai","Thailand"
"Dara TV","09:00 - 09:30 pm","Monday - Friday","Thai","Thailand"
"Myawady","06:00 - 06:30 am","Monday - Friday","Burmese","Myanmar"
