"label","Wikipage page ID","Wikipage revision ID"
"Kentucky Route 156","47145643","670049901"
"Kentucky Route 157","47146703","670006009"
"Kentucky Route 158","47153657","670309597"
"Kentucky Route 159","47155552","671030062"
"Kentucky Route 161","47155625","670309805"
"Kentucky Route 162","47159029","670309905"
"Kentucky Route 164","47159967","670309976"
"Kentucky Route 165","47160224","670310026"
"M-50","47450876","682821020"
"Nevada State Route 715","47267109","672193201"
"Nevada State Route 718","47267299","672193009"
"Nevada State Route 720","47267268","672193104"
"Nevada State Route 723","47267027","672193300"
"New Zealand State Highway 23","47518635","681309092"
"New Zealand State Highway 24","47555996","676627779"
"New Zealand State Highway 47","47554893","678736910"
"New Zealand State Highway 54","47554924","680781527"
"Provincial Highway 22 (Taiwan)","47929695","682756834"
"Provincial Highway 24 (Taiwan)","47929833","682781356"
"Radial Road 4","47325838","672962933"
