"&nbsp;","2005-2006","2004-2005","2003-2004"
"Tuition and Fees","Tuition and Fees","Tuition and Fees","Tuition and Fees"
"In-State","$8400.00","$7900.00","$7900.00"
"Out-of-State","-","-","-"
"Books and Supplies","Books and Supplies","Books and Supplies","Books and Supplies"
"NULL","$660.00","$660.00","$660.00"
"Room and Board","Room and Board","Room and Board","Room and Board"
"On Campus","-","-","-"
"Off Campus","$8784.00","$8648.00","$7752.00"
"Other Expenses","Other Expenses","Other Expenses","Other Expenses"
"On Campus","-","-","-"
"Off Campus","$3912.00","$4480.00","$4328.00"
"Off Campus Family Expenses","$2848.00","$3432.00","$3784.00"
