"label","Wikipage revision ID","Link from a Wikipage to an external page","Wikipage page ID"
"Acadine Technologies","672850617","http://www.acadine.com/","47315918"
"Acceltree Software","681153386","http://www.acceltree.com/","47773412"
"Accumuli Security","653357237","http://www.accumuli.com/","46215145"
"Achill Rovers F.D.A.C","","",""
"Acodez","661212448","http://www.acodez.in/","46625395"
"Action Tuam","676192521","http://www.beechtreepark.com","46892658"
"Actors Comedy Studio","681922907","http://www.actorscomedystudio.com","46768530"
"Acıbadem Üniversitesi S.K.","682083713","","46769566"
"AdPushup","683473443","http://www.adpushup.com/","47819663"
"Adam Eckersley Band","679564493","","46753546"
"Adam and Gila Milstein Family Foundation","681441884","","46182017"
"Adamas University","","",""
"Adams Resources & Energy","669211080","http://www.adamsresources.com","45664794"
"Adana ASKI","683984464","http://www.adanaaskispor.com","46487622"
"Adaro (DJ)","683311888","","46313297"
"Adelaide Adrenaline (Women)","","",""
"Adgreetz","676890951","http://www.adgreetz.com","45638334"
"Adhyatma TV","","",""
"Advanced Business Solutions","","",""
"Aero Nord","683544953","","47986784"
