"label","Wikipage page ID","Wikipage revision ID"
"The Sunny Night","47291840","674140944"
"The Telling Room","47440840","681233695"
"The Terrible People (novel)","47426830",""
"The Universal Magazine (1900 monthly)","",""
"The Water Knife","47276337","673549900"
"星のウイッチ","47491285",""
"The Wooden Leg of Inspector Anders","47287818","672276759"
"The World of Paul Slickey","47153706","683341741"
"The Year's Best Science Fiction: Eleventh Annual Collection","47552139","681000965"
"The Year's Best Science Fiction: Tenth Annual Collection","47551891","681001038"
"The Year's Best Science Fiction: Thirty-Second Annual Collection","47200696","676512376"
"This Is Not a Test (novel)","47175075","673112931"
"Tiberius (Massie novel)","47479097","678102031"
"Trick 'r Treat: Days of the Dead","",""
"Under Plain Cover","47189010","671393008"
"Unspeakable Things: Sex, Lies and Revolution","",""
"嘘喰い","47524337","677408170"
"VOLOGLAM","47480851","677265994"
"Valuation: Measuring and Managing the Value of Companies","47436321","675421645"
"Wading Home: A Novel of New Orleans","47284003","672552960"
