"&nbsp;Connections&nbsp;","&nbsp;Gateway ID&nbsp;","&nbsp;&nbsp;&nbsp;Title"
"0","5774","European journal of ultrasound."
"0","6280","European law journal."
"1","5214","European management journal."
"0","5775","European neuropsychopharmacology."
"7","4835","European polymer journal."
"3","2556","European research papers archive."
"1","2604","European review of agricultural economics."
"12","1681","Europhysics letters."
"0","2213","Europhysics news"
"1","6319","Eurostat electronic library."
"2","5215","Evaluation and program planning."
"Withdrawn","1385","EventLine (OCLC Telnet : 1989- )."
"Withdrawn","1296","EventLine (OCLC Web : 1989- )."
"12","6030","Evolution (BioOne: 2000- )"
"12","4697","Evolution (JSTOR: Back issues)"
"1","5045","Evolution and human behavior."
"0","3608","Evolutionary anthropology."
"1","3380","Evolutionary ecology research."
"0","4657","Existing digital image archives."
"11","344","Expenditures of food beverages and tobacco."
"1","4133","Expenditures on children by families annual report."
"0","3459","Experimental aging research."
"1","2807","Experimental and molecular pathology."
"0","2233","Experimental brain research."
