"birth place","label","Geburtsort","Geburtsdatum"
"http://dbpedia.org/resource/Vilnius","Gediminas Juzeliūnas","http://dbpedia.org/resource/Vilnius","1958-07-14"
"Lauro de Freitas, Brazil","Geferson","http://dbpedia.org/resource/Lauro_de_Freitas",""
"http://dbpedia.org/resource/Yerevan","Гарибджанян, Гегам Тиранович","http://dbpedia.org/resource/Yerevan","1951-10-02"
"","劇団イヌカレー","",""
"","George Orange","http://dbpedia.org/resource/Yorkshire",""
"New York","George Thompson Ruby","http://dbpedia.org/resource/New_York",""
"http://dbpedia.org/resource/Tulsa,_Oklahoma","Georgia Frazier","http://dbpedia.org/resource/Tulsa,_Oklahoma","1992-04-20"
"","Georgios Stephanou","http://dbpedia.org/resource/Himarë","1824"
"","Gerald Jones","",""
"http://dbpedia.org/resource/Mexico","Gerardo Jiménez Sánchez","http://dbpedia.org/resource/Mexico",""
"http://dbpedia.org/resource/Churchtown,_County_Cork","Gerry Murphy (entrepreneur)","http://dbpedia.org/resource/Churchtown,_County_Cork",""
"http://dbpedia.org/resource/Belgium","Gert Verhulst","http://dbpedia.org/resource/Belgium","1968-01-04"
"","Gessica Rostellato","",""
"","Ghostshrimp","","1980"
"","Gianni Pezzani","","1951-06-18"
"http://dbpedia.org/resource/Montana","Gideon Kimbrell","http://dbpedia.org/resource/Montana","1984"
"Montreal, Quebec, Canada","Gigi Gorgeous","",""
"http://dbpedia.org/resource/Santiago","Gigia Talarico","http://dbpedia.org/resource/Santiago",""
"Ramat Gan, Israel","Gil Alon","http://dbpedia.org/resource/Israel","1960-04-29"
"Rouen, Seine-Maritime, France","Gilles-William Goldnadel","http://dbpedia.org/resource/Seine-Maritime","1954-01-12"
