"Account Name","Rate Type","Min Opening Balance","Min to Earn Dividend","Dividend Rate","APY**"
"Membership Account *","&nbsp;","$25","Non-Dividend Earning","&nbsp;","&nbsp;"
"Holiday Club","Variable","$5","$5","0.10%","0.10%"
"Vacation Club","Variable","$5","$5","0.10%","0.10%"
"Total Saver","Variable","$5","$5","&nbsp;","&nbsp;"
"&nbsp;","5-2999","&nbsp;","&nbsp;","0.10%","0.10%"
"&nbsp;","3000-4999","&nbsp;","&nbsp;","0.10%","0.10%"
"&nbsp;","5000-9999","&nbsp;","&nbsp;","0.15%","0.15%"
"&nbsp;","10000-49999","&nbsp;","&nbsp;","0.15%","0.15%"
"&nbsp;","50000-99999","&nbsp;","&nbsp;","0.20%","0.20%"
"&nbsp;","100000-over","&nbsp;","&nbsp;","0.20%","0.20%"
"Freedom Saver","Savings","$5","$5","0.10%","0.10%"
"Share Draft","Checking","$25","No Minimum Balance Required","Non Dividend Earning","&nbsp;"
"Freedom Checking","Checking","$25","No Minimum Balance Required","Non Dividend Earning","&nbsp;"
"IRA Accumulation","Variable","$100","$100","0.10%","0.10%"
"IRA Split Rate","Variable","$1000","$1000","&nbsp;","&nbsp;"
"&nbsp;","1000-2999","&nbsp;","&nbsp;","0.15%","0.15%"
"&nbsp;","3000-4999","&nbsp;","&nbsp;","0.20%","0.20%"
"&nbsp;","5000-over","&nbsp;","&nbsp;","0.20%","0.20%"
